origin_country,period,coking_coal_mt,non_coking_coal_mt,total_coal_mt,coke_products_mt,status
Indonesia,2024-25,2.06850481,102.582652149,104.65115695899999,2.2041816229999998,final
Australia,2024-25,24.583794282,8.451273949,33.035068231,0.201577022,final
South Africa,2024-25,0,31.133411657,31.133411657,0.00139489,final
Russia,2024-25,8.209359227,15.443271827,23.652631054,0.15830512600000002,final
U S A,2024-25,8.477409175,11.663709299999999,20.141118475,2.7076e-05,final
Singapore,2024-25,5.697508786,5.270557177000001,10.968065963,0.10797375,final
Mozambique,2024-25,3.428729459,4.933593860999999,8.36232332,0,final
U Arab Emts,2024-25,2.031568678,1.181417792,3.21298647,0.12448142000000001,final
Colombia,2024-25,0.08217744,2.31687792,2.39905536,0.177929451,final
Switzerland,2024-25,0.8486836,1.244907393,2.0935909930000003,0.19906778,final
Canada,2024-25,1.7474485,1.8e-05,1.7474665,0,final
Hong Kong,2024-25,0,0.785093796,0.785093796,0.005197188,final
Tanzania Rep,2024-25,0,0.50163678,0.50163678,0,final
China P Rp,2024-25,0,0.270988655,0.270988655,0.5058195320000001,final
New Zealand,2024-25,0.264442,0,0.264442,0,final
Kazakhstan,2024-25,0,0.164823,0.164823,0,final
U K,2024-25,0.120170377,0.00015030000000000002,0.120320677,0.00054906,final
Netherland,2024-25,0,0.072240694,0.072240694,6.14e-05,final
Saudi Arab,2024-25,0,0.0186814,0.0186814,0.00040186,final
Morocco,2024-25,0.0165,0,0.0165,0,final
Baharain Is,2024-25,0,0.00508562,0.00508562,0.000748185,final
Turkey,2024-25,0,0.003067221,0.003067221,0,final
Oman,2024-25,0,0.001107216,0.001107216,0.00071985,final
Germany,2024-25,0,0.0009611169999999999,0.0009611169999999999,0.000292359,final
Vietnam Soc Rep,2024-25,0,0.000294,0.000294,0,final
Croatia,2024-25,0,0.00018101,0.00018101,0,final
Afghanistan,2024-25,0,2.071e-05,2.071e-05,0,final
Belgium,2024-25,0,1.06e-06,1.06e-06,0,final
Spain,2024-25,0,5e-09,5e-09,0.070467,final
Bhutan,2024-25,0,0,0.0,0.00010252,final
Estonia,2024-25,0,0,0.0,0.00371823,final
Finland,2024-25,0,0,0.0,0.000235132,final
Japan,2024-25,0,0,0.0,0.395076,final
Latvia,2024-25,0,0,0.0,0.011669224,final
Lithuania,2024-25,0,0,0.0,0.005321184,final
Malaysia,2024-25,0,0,0.0,7.5e-05,final
Norway,2024-25,0,0,0.0,0.000494529,final
Poland,2024-25,0,0,0.0,0.7030064859999999,final
Qatar,2024-25,0,0,0.0,0.00127123,final
Taiwan,2024-25,0,0,0.0,1.7e-07,final
Unspecified,2024-25,0,0,0.0,5.04e-05,final
