import_port,period,coking_coal_mt,non_coking_coal_mt,total_coal_mt,coke_products_mt,status
Paradip Sea,2024-25,11.555517501,9.262104751999999,20.817622253,0.779373742,final
Dhamra(Chandbali),2024-25,8.097202421,12.037702749,20.13490517,0.040263124,final
Krishnapatnam,2024-25,3.904137017,15.312582411,19.216719427999998,0.323374,final
Sez Mundra,2024-25,0.00400071,16.085826570000002,16.08982728,0,final
Visakhapatnam Sea,2024-25,4.64239208,10.497512167000002,15.139904247,0.875610387,final
Mundra,2024-25,0.38919587,13.719585202,14.108781072,0.00307906,final
Kolkata Sea,2024-25,7.380559583,4.845559773,12.226119356,0.644604938,final
Kandla Sea,2024-25,0.997284679,11.131616967,12.128901646,0.186261,final
Gangavaram Port,2024-25,6.357393791,4.679379967,11.036773757999999,0.022,final
Jaigad,2024-25,5.006051869,5.982782205,10.988834074,0,final
Magdalla Port Sea,2024-25,0.529856,10.091483373,10.621339373000001,1.4667328499999999,final
Tuticorin Sea,2024-25,0,9.066025,9.066025,0.000153,final
Ennore Sea,2024-25,1.853452484,6.502171282,8.355623766,0,final
"Hazira Port, Surat",2024-25,0,8.344178,8.344178,2.5961e-05,final
Newmangalore Sea,2024-25,0.830563258,7.076082396,7.906645654,0.197101,final
Dehej Sea,2024-25,0,7.772266263,7.772266263,0,final
Marmagoa Sea,2024-25,5.387781762,2.3266775600000003,7.714459322000001,0.097637,final
Navlakhi,2024-25,0,7.293348,7.293348,0,final
Karikal,2024-25,0,5.530659694,5.530659694,0,final
"Salaya Port, Gujrat",2024-25,0,4.424889562,4.424889562,0,final
Dharmatar Sea,2024-25,0,3.142786,3.142786,0,final
Mumbai Sea,2024-25,0,1.924727,1.924727,0,final
Bhavnagar,2024-25,0,1.4893146419999999,1.4893146419999999,0,final
Nhava Sheva Sea,2024-25,0,1.368141124,1.368141124,0.021535297999999998,final
Okha,2024-25,0.057,1.1953428,1.2523427999999999,0.05186795,final
Kakinada Sea,2024-25,0.420456,0.759184603,1.179640603,0,final
Sez Jamnagar (Reliance),2024-25,0,1.123159,1.123159,0,final
Gopalpur Port,2024-25,0.087521,0.705931493,0.793452493,0.02,final
Porbandar,2024-25,0,0.507634,0.507634,0.0605,final
Bedi Sea,2024-25,0.075925,0.36638145,0.44230645,0,final
Kodinar Sea,2024-25,0,0.28012,0.28012,0,final
Pipavab(Vicyor),2024-25,0,0.239010177,0.239010177,0.0297,final
Jakhav,2024-25,0,0.180464,0.180464,0,final
Ranpar,2024-25,0,0.1707,0.1707,0,final
Adani Power Jharkhand Ltd Sez,2024-25,0,0.1608,0.1608,0,final
Revdanda,2024-25,0,0.142515,0.142515,0,final
"Anrak Aluminium Sez, Vizag Dc",2024-25,0,0.094545,0.094545,0,final
Sikka,2024-25,0,0.08178259,0.08178259,0,final
Parri Infra Co Pvt Ltd,2024-25,0,0.0605,0.0605,0,final
Hetero Infra Sez Nakkapalli Ap,2024-25,0,0.053577,0.053577,0,final
Appiic Multi Prod Sez Vizag Dc,2024-25,0,0.005,0.005,0.054723,final
Htpl Kilaraipur Icd,2024-25,0,0.0036095,0.0036095,0,final
Chennai Sea,2024-25,0,0.0027199999999999998,0.0027199999999999998,0.004060477,final
Icd Ludhiana,2024-25,0,0.0016407099999999999,0.0016407099999999999,0,final
"Icd Sahnewal, Grfl",2024-25,0,0.00150145,0.00150145,0,final
Concor Icd/Mmlp Khapri Nagpur,2024-25,0,0.00118984,0.00118984,0.000236305,final
Icd Sonipat,2024-25,0,0.00046721,0.00046721,0,final
Icd Kanakpura,2024-25,0,0.000464878,0.000464878,0,final
Concor Icd Naya Raipur,2024-25,0,0.000162,0.000162,0,final
Icd Sabarmati,2024-25,0,0.000108,0.000108,2e-05,final
Cochin Sea,2024-25,0,7.83e-05,7.83e-05,0,final
Icd Bangalore,2024-25,0,2.8e-05,2.8e-05,0,final
Bangalore Airport,2024-25,4.455e-06,5.07e-07,4.961999999999999e-06,0,final
Kolkata Air,2024-25,5.51e-07,2.3e-06,2.851e-06,0,final
Hyderabad Airport,2024-25,0,4.66e-07,4.66e-07,2e-09,final
Chennai Air,2024-25,0,4.43e-07,4.43e-07,7.2e-06,final
Ahmedabad Air Cargo Complex,2024-25,0,2.28e-07,2.28e-07,0,final
Mumbai Air,2024-25,1.83e-07,5e-09,1.8800000000000002e-07,9.63e-07,final
Delhi Air,2024-25,1.2e-07,0,1.2e-07,0,final
Darranga (Rangia),2024-25,0,0,0.0,3.103e-05,final
Icd Concor Jharsuguda,2024-25,0,0,0.0,0,final
Icd Jajpur,2024-25,0,0,0.0,0.000499,final
Icd Mandideep,2024-25,0,0,0.0,0.0002015,final
Icd Patli,2024-25,0,0,0.0,2.5e-05,final
Jaigaon,2024-25,0,0,0.0,0.00012189,final
Visakhapatnam Spl Economic Zon,2024-25,0,0,0.0,0.000469,final
