period,financial_year,coking_coal_mt,non_coking_coal_mt,total_coal_mt,coke_products_mt,status,source_url
2024-04,2024-25,5.166710889,17.249779713,22.416490602,0.304931593,final,https://coal.gov.in/major-statistics/coal-statistics
2024-05,2024-25,5.26945568,19.765537281,25.034992961,0.410818209,final,https://coal.gov.in/major-statistics/coal-statistics
2024-06,2024-25,5.385576091,15.700523294,21.086099385,0.518895382,final,https://coal.gov.in/major-statistics/coal-statistics
2024-07,2024-25,4.92033156,16.88831907,21.80865063,0.476155559,final,https://coal.gov.in/major-statistics/coal-statistics
2024-08,2024-25,5.436825722,15.252231064,20.689056786,0.392829894,final,https://coal.gov.in/major-statistics/coal-statistics
2024-09,2024-25,4.115564922,14.211221752,18.326786674,0.352170851,final,https://coal.gov.in/major-statistics/coal-statistics
2024-10,2024-25,4.126972223,15.738609568,19.865581791,0.358887908,final,https://coal.gov.in/major-statistics/coal-statistics
2024-11,2024-25,4.778011978,13.960201203,18.738213181,0.600765848,final,https://coal.gov.in/major-statistics/coal-statistics
2024-12,2024-25,3.534744187,11.754948722,15.289692909,0.503846478,final,https://coal.gov.in/major-statistics/coal-statistics
2025-01,2024-25,6.070874619,16.137748315,22.208622934,0.363424157,final,https://coal.gov.in/major-statistics/coal-statistics
2025-02,2024-25,4.359653206,13.500483058,17.860136264,0.132675218,final,https://coal.gov.in/major-statistics/coal-statistics
2025-03,2024-25,4.411575257,15.886420569,20.297995826,0.46481358,final,https://coal.gov.in/major-statistics/coal-statistics
2025-04,2025-26,5.93,18.34,24.27,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-05,2025-26,5.39,19.66,25.05,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-06,2025-26,5.51,16.06,21.57,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-07,2025-26,6.44,14.64,21.08,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-08,2025-26,5.22,13.85,19.08,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-09,2025-26,4.85,13.11,17.96,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-10,2025-26,5.89,14.91,20.8,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-11,2025-26,5.34,15.14,20.48,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2025-12,2025-26,5.99,13.04,19.03,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2026-01,2025-26,4.97,14.03,19.0,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2026-02,2025-26,4.45,13.93,18.38,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2026-03,2025-26,6.34,13.32,19.66,,provisional,https://coal.gov.in/sites/default/files/2025-09/29-06-2026a-qety.pdf
2026-04,2026-27,6.01,15.11,21.13,,provisional,https://coal.gov.in/major-statistics/production-and-supplies
