period,status,production_mt,production_prior_year_mt,production_yoy_pct,production_ytd_mt,dispatch_mt,dispatch_prior_year_mt,dispatch_yoy_pct,dispatch_ytd_mt,source_url
2023-05,provisional,76.13,71.21,6.91,149.28,82.38,77.76,5.94,162.64,https://coal.gov.in/sites/default/files/2023-06/msg-may23.pdf
2023-06,provisional,73.92,67.36,9.73,223.35,78.21,75.01,4.27,240.89,https://coal.gov.in/sites/default/files/2023-07/msg-june23.pdf
2023-07,provisional,69.29,60.29,14.93,292.65,75.99,67.55,12.49,316.74,https://coal.gov.in/sites/default/files/2023-08/msg-july23.pdf
2023-08,provisional,68.37,58.05,17.76,361.02,75.11,63.26,18.73,391.89,https://coal.gov.in/sites/default/files/2023-09/msg-aug23.pdf
2023-09,provisional,67.27,58.04,15.91,428.31,70.31,61.1,15.08,462.22,https://coal.gov.in/sites/default/files/2023-10/msg-sept23.pdf
2023-10,provisional,78.65,66.32,18.59,483.78,79.3,67.13,18.14,,https://coal.gov.in/sites/default/files/2023-11/msg-oct23.pdf
2023-11,provisional,84.52,76.16,10.97,558.12,82.22,74.34,10.59,,https://coal.gov.in/sites/default/files/2023-12/msg-nov23.pdf
2023-12,provisional,92.92,83.91,10.74,637.75,86.64,79.63,8.8,,https://coal.gov.in/sites/default/files/2024-01/msg-dec23.pdf
2024-01,provisional,99.73,90.42,10.3,784.11,87.37,82.02,6.52,797.66,https://coal.gov.in/sites/default/files/2024-02/msg-jan24.pdf
2024-02,provisional,96.6,86.38,11.83,24.0,84.78,74.61,13.64,24.0,https://coal.gov.in/sites/default/files/2024-03/msg-feb24.pdf
2024-03,provisional,116.63,107.8,8.19,90.31,90.31,83.1,8.68,90.31,https://coal.gov.in/sites/default/files/2024-04/msg-march24.pdf
2024-04,provisional,78.69,73.25,7.42,78.69,86.15,80.23,6.14,85.15,https://coal.gov.in/sites/default/files/2024-05/msg-april24.pdf
2024-05,provisional,83.91,76.18,10.15,162.62,90.84,82.32,10.35,175.96,https://coal.gov.in/sites/default/files/2024-06/msg-may24.pdf
2024-06,provisional,84.71,73.93,14.58,247.39,87.14,78.05,11.64,263.23,https://coal.gov.in/sites/default/files/2024-07/msg-june24.pdf
2024-07,provisional,74.0,69.58,6.36,321.39,80.47,76.36,5.38,343.69,https://coal.gov.in/sites/default/files/2024-08/msg-july24.pdf
2024-08,provisional,62.67,67.76,-7.51,414.04,70.39,75.16,-6.35,,https://coal.gov.in/sites/default/files/2024-09/msg-aug24.pdf
2024-09,provisional,68.96,67.27,2.51,,73.99,70.25,5.32,,https://coal.gov.in/sites/default/files/2024-10/msg-sept24.pdf
2024-10,provisional,84.47,78.57,7.51,537.41,83.89,79.18,5.94,571.77,https://coal.gov.in/sites/default/files/2024-11/msg-oct24.pdf
2024-11,provisional,90.8,84.56,7.39,,85.52,82.21,4.03,,https://coal.gov.in/sites/default/files/2024-12/msg-nov24.pdf
2024-12,provisional,97.87,92.99,5.25,750.32,92.45,86.6,6.75,,https://coal.gov.in/sites/default/files/2025-01/msg-dec24.pdf
2025-01,provisional,104.49,100.07,4.42,830.79,93.21,87.38,6.68,843.7,https://coal.gov.in/sites/default/files/2025-02/msg-jan25.pdf
2025-02,provisional,98.26,96.6,1.71,929.15,85.63,84.73,1.06,930.58,https://coal.gov.in/sites/default/files/2025-03/msg-feb25.pdf
2025-03,provisional,118.54,116.68,1.59,1025.36,94.94,90.33,5.11,,https://coal.gov.in/sites/default/files/2025-04/msg-march25.pdf
2025-04,provisional,81.96,78.71,4.13,87.74,87.74,85.12,3.08,,https://coal.gov.in/sites/default/files/2025-05/msg-april25.pdf
2025-05,provisional,86.34,83.96,2.83,,89.32,91.06,-1.91,,https://coal.gov.in/sites/default/files/2025-06/msg-may25.pdf
2025-06,provisional,78.98,84.73,-6.78,247.0,84.09,87.25,-3.63,260.95,https://coal.gov.in/sites/default/files/2025-07/msg-june25.pdf
2025-07,provisional,73.57,80.55,-8.66,334.31,73.57,80.55,-8.66,334.31,https://coal.gov.in/sites/default/files/2025-08/msg-july25.pdf
2025-08,provisional,77.39,70.48,9.81,411.71,77.39,70.48,9.81,411.71,https://coal.gov.in/sites/default/files/2025-09/msg-aug25.pdf
2025-09,provisional,73.97,74.1,-0.18,485.7,73.97,74.1,-0.18,485.7,https://coal.gov.in/sites/default/files/2025-10/msg-setp25.pdf
2025-10,provisional,80.44,84.456,-4.75,566.12,80.44,84.46,-4.75,566.12,https://coal.gov.in/sites/default/files/2025-11/msg-oct25.pdf
2025-11,provisional,85.62,85.78,-0.18,651.78,85.62,85.78,-0.18,651.78,https://coal.gov.in/sites/default/files/2025-12/msg-nov25.pdf
2025-12,provisional,90.17,92.61,-2.64,742.0,90.17,92.61,-2.64,742.01,https://coal.gov.in/sites/default/files/2026-01/msg-dec25.pdf
2026-01,provisional,92.18,93.45,-1.37,834.05,79.81,77.79,2.6,609.0,https://coal.gov.in/sites/default/files/2026-02/msg-jan26.pdf
2026-02,provisional,90.8,85.47,6.23,924.52,74.66,74.12,0.73,683.68,https://coal.gov.in/sites/default/files/2026-03/msg-feb26.pdf
2026-03,provisional,96.78,95.38,1.47,1019.5,96.78,95.38,1.47,1019.5,https://coal.gov.in/sites/default/files/2026-04/msg-march26.pdf
2026-04,provisional,86.2,87.62,-1.62,86.2,68.65,70.21,-2.22,68.65,https://coal.gov.in/sites/default/files/2026-05/msg-april26.pdf
2026-05,provisional,78.13,86.36,-9.53,152.34,92.02,89.04,3.35,178.27,https://coal.gov.in/sites/default/files/2026-06/msg-may26.pdf
2026-06,provisional,90.01,84.13,7.0,268.04,90.01,84.13,7.0,268.04,https://coal.gov.in/sites/default/files/2026-07/msg-june26.pdf
