period,power_utility_mt,power_captive_mt,steel_direct_mt,steel_coke_ovens_mt,steel_boilers_mt,cement_mt,fertiliser_mt,sponge_iron_mt,other_metals_mt,chemicals_mt,pulp_paper_mt,textiles_mt,bricks_mt,other_mt,total_offtake_mt,status
2015-16,483.54900000000004,34.22,0.607,11.666,0.249,8.985000000000001,2.296,7.762999999999999,0.44,0.325,1.2109999999999999,0.267,0.074,80.79,632.7780000000001,final
2016-17,508.36799999999994,26.676,0.25,9.881,0.205,6.356,2.1350000000000002,5.557,5.038,0.312,1.181,0.243,0.098939,79.67699999999999,646.2669390000001,final
2017-18,540.402,45.086,5.6,5.474,0.373,7.708,1.883,8.528,0.8059999999999999,0.277,1.5100000000000002,0.238,0.115,72.003,690.2460000000004,final
2018-19,592.9549999999999,51.470000000000006,6.444,6.071,0.298,8.816,1.789,12.234000000000002,1.097,0.251,1.637,0.20400000000000001,0.093,49.434999999999995,733.0139999999998,final
2019-20,572.1490000000001,54.0,6.051,5.623,0.234,8.569,1.764,10.529,0.603,0.209,1.326,0.101,0.026000000000000002,45.992,707.3870000000001,final
2020-21,547.494,45.786,5.337,3.5380000000000003,0.1,6.753999999999999,1.5270000000000001,9.565,0.683,0.158,1.068,0.08,0.025,68.76899999999998,691.0810000000001,final
2021-22,673.3501576450001,36.699322085,4.25734,4.51602,0.38595099999999993,7.30637948,1.11059814,9.023376515,2.93282839,0.196,1.244,0.08,0.022701540000000003,78.08864886,819.4049546550002,final
2022-23,735.1389999999997,50.257000000000005,6.5649999999999995,6.417000000000001,0.4,9.309000000000001,0.662,8.093,1.159,0.195,1.2550000000000001,0.092,0.109,57.717,877.5489999999998,final
2023-24,796.0860000000001,63.250000000000014,8.78,8.068,0.496,9.163,0.7999999999999999,11.965,6.891,0.197,1.027,0.173,0.1,66.01299999999999,973.1680000000001,final
2024-25,831.7864173124383,70.15110095100005,2.6189050700000003,15.485575728999999,0.49782150000000003,8.928725840000013,1.0672524399999994,12.23305945000001,6.955452999999999,0.20359867,0.81399665,0.23201528000000005,0.0389937,74.32000461899996,1025.4813073804382,final
