period,status,coal_generation_gwh,lignite_generation_gwh,thermal_generation_gwh,nuclear_generation_gwh,large_hydro_generation_gwh,bhutan_import_gwh,conventional_generation_gwh,coal_share_conventional_pct,npp_source_url,npp_fuel_source_url
2023-05,final,106033.15,2615.8,111515.28,3495.91,11458.68,131.8,126601.67,83.75335807181689,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/MAY/18_col_act-1_2023-MAY.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/MAY/18_col_act-11_2023-MAY.xls
2023-06,final,103324.75,2833.7,109220.04,3209.74,14334.25,618.7,127382.73,81.11362505733706,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/JUN/18_col_act-1_2023-JUN.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/JUN/18_col_act-11_2023-JUN.xls
2023-07,final,98209.81,2695.66,103175.41,3954.53,17924.48,1258.6,126313.02,77.75113761035877,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/JUL/18_col_act-1_2023-JUL.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/JUL/18_col_act-11_2023-JUL.xls
2023-08,final,103971.51,2439.67,110065.64,4370.12,21959.79,1198.8,137594.34999999998,75.56379313540128,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/AUG/18_col_act-1_2023-AUG.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/AUG/18_col_act-11_2023-AUG.xls
2023-09,final,103392.53,2440.2,108820.55,4525.77,16322.75,869.4,130538.47,79.20464365791938,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/SEP/18_col_act-1_2023-SEP.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/SEP/18_col_act-11_2023-SEP.xls
2023-10,final,111351.47,2646.88,117258.64,4493.54,11240.45,508.5,133501.13,83.40863481829705,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/OCT/18_col_act-1_2023-OCT.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/OCT/18_col_act-11_2023-OCT.xls
2023-11,final,99260.33,2725.83,103666.97,4424.49,6621.29,16.5,114729.25,86.51702159649784,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/NOV/18_col_act-1_2023-NOV.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/NOV/18_col_act-11_2023-NOV.xls
2023-12,final,100688.72,2854.05,105491.25,4276.81,6167.11,11.6,115946.77,86.84046998463174,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/DEC/18_col_act-1_2023-DEC.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2023/DEC/18_col_act-11_2023-DEC.xls
2024-01,final,111724.64,3202.42,117504.61,4152.32,6352.29,15.8,128025.01999999999,87.26781686892141,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/JAN/18_col_act-1_2024-JAN.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/JAN/18_col_act-11_2024-JAN.xls
2024-02,final,104096.48,2891.72,109345.97,3501.79,5928.16,9.9,118785.81999999999,87.63375965245683,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/FEB/18_col_act-1_2024-FEB.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/FEB/18_col_act-11_2024-FEB.xls
2024-03,final,112822.82,3531.08,118911.09,4019.94,7015.7,18.3,129965.03,86.81013654211445,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/MAR/18_col_act-1_2024-MAR.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/MAR/18_col_act-11_2024-MAR.xls
2024-04,final,116699.25,3219.63,123681.53,4443.61,8126.06,75.6,136326.80000000002,85.60257410868589,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/APR/18_col_act-1_2024-APR.xls,https://npp.gov.in/public-reports/cea/monthly/generation/18_col_act//2024/APR/18_col_act-11_2024-APR.xls
