steel_plant,period,prime_coking_kt,medium_coking_kt,blendable_kt,imported_coking_kt,total_coking_kt,hot_metal_kt,status
BSP,2013-14,352.0,536.0,0.0,4029.0,4917.0,5377.0,final
BSP,2014-15,35.0,502.0,0.0,4287.0,4824.0,5072.0,final
BSP,2015-16,149.0,581.0,0.0,4305.0,5035.0,5316.0,final
BSP,2016-17,664.0,412.0,0.0,3767.0,4843.0,5041.0,final
BSP,2017-18,580.0,346.0,0.0,4403.0,5329.0,4280.0,final
BSP,2018-19,84.0,208.0,0.0,4506.0,4798.0,4280.0,final
BSL,2013-14,220.0,162.0,0.0,2438.0,2820.0,4100.0,final
BSL,2014-15,276.0,180.0,0.0,3155.0,3611.0,4253.0,final
BSL,2015-16,187.0,278.0,0.0,3148.0,3613.0,3701.0,final
BSL,2016-17,459.0,265.0,0.0,2532.0,3256.0,3411.0,final
BSL,2017-18,706.0,372.0,0.0,3505.0,4583.0,4046.0,final
BSL,2018-19,238.0,69.0,0.0,3182.0,3489.0,4046.0,final
DSP,2013-14,244.0,188.0,0.0,1508.0,1940.0,2191.0,final
DSP,2014-15,208.0,233.0,0.0,1684.0,2125.0,2296.0,final
DSP,2015-16,210.0,182.0,0.0,1664.0,2056.0,2170.0,final
DSP,2016-17,315.0,113.0,0.0,1610.0,2038.0,2317.0,final
DSP,2017-18,468.0,194.0,0.0,1987.0,2649.0,2282.0,final
DSP,2018-19,227.0,77.0,0.0,1954.0,2258.0,2282.0,final
Rourkela,1999-00,634.0,281.0,42.0,137.0,1094.0,731.0,final
Rourkela,2013-14,295.0,170.0,0.0,2400.0,2865.0,2538.0,final
Rourkela,2014-15,218.0,139.0,0.0,2702.0,3059.0,3156.0,final
Rourkela,2015-16,123.0,126.0,0.0,2795.0,3044.0,3042.0,final
Rourkela,2016-17,261.0,99.0,0.0,2626.0,2986.0,3094.0,final
Rourkela,2017-18,482.0,156.0,0.0,3484.0,4122.0,3321.0,final
Rourkela,2018-19,369.0,161.3,0.0,3327.0,3857.3,3321.0,final
ISP,2013-14,331.0,0.0,0.0,1079.0,1410.0,220.0,final
ISP,2014-15,244.0,0.0,0.0,1092.0,1336.0,565.0,final
ISP,2015-16,241.0,0.0,0.0,1361.0,1602.0,1430.0,final
ISP,2016-17,262.0,7.0,0.0,1521.0,1790.0,1811.0,final
ISP,2017-18,325.0,8.0,0.0,1966.0,2299.0,2055.0,final
ISP,2018-19,104.0,0.0,0.0,1962.0,2066.0,2055.0,final
DPL,2013-14,,,,,,,final
DPL,2014-15,,,,,,,final
DPL,2015-16,,,,,,,final
DPL,2016-17,,,,,,,final
DPL,2017-18,,,,,,,final
DPL,2018-19,,,,,,,final
VSP(RINL),2013-14,0.0,404.0,0.0,3642.0,4046.0,3769.0,final
Visakhapatnam,2014-15,0.0,430.0,0.0,4089.0,4519.0,3780.0,final
Visakhapatnam,2015-16,0.0,387.0,0.0,4070.0,4457.0,3780.0,final
Visakhapatnam,2016-17,0.0,496.0,0.0,3930.0,4426.0,4386.0,final
Visakhapatnam,2017-18,0.0,440.0,0.0,4005.0,4445.0,5132.0,final
Visakhapatnam,2018-19,0.0,440.0,0.0,4005.0,4445.0,5132.0,final
TISCO,2013-14,1042.0,2643.0,0.0,3341.0,7026.0,9899.0,final
Jamshedpur,2014-15,0.0,0.0,3196.0,4554.0,7750.0,10163.0,final
Jamshedpur,2015-16,0.0,0.0,3367.0,3636.0,7003.0,10163.0,final
Jamshedpur,2016-17,0.0,0.0,3295.0,5548.0,6935.0,13051.0,final
Jamshedpur,2017-18,0.0,0.0,2795.0,3982.0,6777.0,10949.0,final
Jamshedpur,2018-19,0.0,0.0,2795.0,3982.0,6777.0,10949.0,final
