dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.6 : Import of Coal, Coke and Lignite by major Coal Importing Countries during 2023 & 2024 p"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null}",1,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null}",2,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Country"", ""1"": 2023, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": ""2024 p"", ""7"": null, ""8"": null, ""9"": null, ""10"": null}",3,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": null, ""1"": ""Coking Coal"", ""2"": ""Anthracite & Other Bituminous Coal"", ""3"": ""Sub-\nBituminous Coal"", ""4"": ""Lignite"", ""5"": ""Coke Oven Coke"", ""6"": ""Coking Coal"", ""7"": ""Anthracite & Other Bituminous Coal"", ""8"": ""Sub-\nBituminous Coal"", ""9"": ""Lignite"", ""10"": ""Coke Oven Coke""}",4,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)""}",5,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""El Salvador"", ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0.000339, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0}",6,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Cuba"", ""1"": 0, ""2"": 0.00023999999999999998, ""3"": 0, ""4"": 0, ""5"": 0.001246, ""6"": 0, ""7"": 0.00023999999999999998, ""8"": 0, ""9"": 0, ""10"": 0}",7,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Costa Rica"", ""1"": 0, ""2"": 0.00027800000000000004, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0.00027800000000000004, ""8"": 0, ""9"": 0, ""10"": 0}",8,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Jamaica"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": 0, ""7"": 0.038, ""8"": 0, ""9"": 0, ""10"": 0}",9,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Guatemala"", ""1"": 0, ""2"": 1.344805, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 1.458913, ""8"": 0, ""9"": 0, ""10"": 0}",10,T-11.6-Imp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
