dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.7 : Export of Coal, Coke and Lignite by major Exporting Countries During 2023 & 2024 p"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null}",1,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null}",2,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Country"", ""1"": 2023, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": ""2024 p"", ""7"": null, ""8"": null, ""9"": null, ""10"": null}",3,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": null, ""1"": ""Coking Coal"", ""2"": ""Anthracite & Other Bituminous Coal"", ""3"": ""Sub-\nBituminous Coal"", ""4"": ""Lignite"", ""5"": ""Coke Oven Coke"", ""6"": ""Coking Coal"", ""7"": ""Anthracite & Other Bituminous Coal"", ""8"": ""Sub-\nBituminous Coal"", ""9"": ""Lignite"", ""10"": ""Coke Oven Coke""}",4,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)""}",5,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Mexico"", ""1"": 0, ""2"": 0.004, ""3"": 0, ""4"": 0, ""5"": 0.001, ""6"": 0, ""7"": 0.004, ""8"": 0, ""9"": 0, ""10"": 0}",6,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Canada"", ""1"": 30.629396, ""2"": 7.863645, ""3"": 0.029679999999999998, ""4"": 0.061738999999999995, ""5"": 0.182875, ""6"": 28.858982, ""7"": 6.800561, ""8"": 0.031567, ""9"": 0.074019, ""10"": 0.042396}",7,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""United States"", ""1"": 46.340591999999994, ""2"": 40.195716, ""3"": 4.33952, ""4"": 0.031398, ""5"": 1.373309, ""6"": 51.590548000000005, ""7"": 41.509772, ""8"": 4.481385, ""9"": 0.011, ""10"": 1.3932650000000002}",8,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""North America"", ""1"": 76.969988, ""2"": 48.063361, ""3"": 4.3692, ""4"": 0.093137, ""5"": 1.557184, ""6"": 80.44953000000001, ""7"": 48.314333, ""8"": 4.512952, ""9"": 0.085019, ""10"": 1.4356610000000003}",9,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Chile"", ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0.039909, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0.063671}",10,T-11.7-Exp,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
