dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.1 : World Proved Coal and Lignite Reserves at the End of 2020"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null}",1,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null}",2,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Countries"", ""1"": ""Anthracite\nand\nBituminous"", ""2"": ""Sub\nBituminous\nand\nLignite"", ""3"": ""Total"", ""4"": ""Share\nof\nTotal"", ""5"": ""R/P\nRatio"", ""6"": ""Remarks""}",3,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)""}",4,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Canada"", ""1"": 4346, ""2"": 2236, ""3"": 6582, ""4"": 0.006127875409176731, ""5"": 166.42117460920855, ""6"": "" * More than 500 years.""}",5,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Mexico"", ""1"": 1160, ""2"": 51, ""3"": 1211, ""4"": 0.0011274471468418446, ""5"": 184.99943253123462, ""6"": ""  ♦ Less than 0.05%.""}",6,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""US"", ""1"": 218938, ""2"": 30003, ""3"": 248941, ""4"": 0.23176533458460416, ""5"": 513.5865659221157, ""6"": null}",7,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Total North America"", ""1"": 224444, ""2"": 32290, ""3"": 256734, ""4"": 0.23902065714062273, ""5"": 483.66722248484115, ""6"": ""Notes: Notes: Total proved reserves of coal- Generally taken to be those quantities that geological and engineering information indicates with reasonable certainty can be recovered in the future from known reservoirs under existing economic and operating conditions. The data series for total proved coal reserves does not necessarily meet the definitions, guidelines and practices used for determining proved reserves at company level, for instance as published by the US Securities and Exchange Commission, nor does it necessarily represent the EI’s view of proved reserves by country.""}",8,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Brazil"", ""1"": 1547, ""2"": 5049, ""3"": 6596, ""4"": 0.006140909480238486, ""5"": 1396.4599866366657, ""6"": null}",9,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Colombia"", ""1"": 4554, ""2"": 0, ""3"": 4554, ""4"": 0.004239797115373873, ""5"": 89.98991344676065, ""6"": null}",10,T11.1 Reserve,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
