dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.2 : Trend of Coal Production By major Coal Producing Countries"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",1,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",2,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Countries"", ""1"": 2014, ""2"": 2015, ""3"": 2016, ""4"": 2017, ""5"": 2018, ""6"": 2019, ""7"": 2020, ""8"": 2021, ""9"": 2022, ""10"": 2023, ""11"": 2024, ""12"": ""Change\n2024\nover\n2023"", ""13"": ""Average Growth Rate Per Annum 2014-24"", ""14"": ""2024 Share of Total""}",3,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)"", ""11"": ""(12)"", ""12"": ""(13)"", ""13"": ""(14)"", ""14"": ""(15)""}",4,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Canada"", ""1"": 67.75280000000001, ""2"": 61.8137, ""3"": 62.3515, ""4"": 60.59609999999999, ""5"": 55.180899999999994, ""6"": 53.1655, ""7"": 46.145900000000005, ""8"": 47.61, ""9"": 47.6419, ""10"": 48.7564, ""11"": 42.55931551087403, ""12"": -0.12948795997946, ""13"": -0.045432291780297285, ""14"": 0.004605235294893109}",5,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Mexico"", ""1"": 14.895549976768889, ""2"": 12.252899980890374, ""3"": 11.408949982206602, ""4"": 12.928589979836579, ""5"": 11.883979999999998, ""6"": 9.75542, ""7"": 7.7469200058587395, ""8"": 5.542014992594177, ""9"": 5.5431833314264916, ""10"": 5.211937940402513, ""11"": 5.200598792392429, ""12"": -0.004901906856957461, ""13"": -0.09988151450460259, ""14"": 0.0005627435692001392}",6,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""US"", ""1"": 907.2289325116026, ""2"": 813.6907555629862, ""3"": 660.7611286087806, ""4"": 702.7137571472379, ""5"": 685.9832192274465, ""6"": 640.7529568618761, ""7"": 485.7378538031839, ""8"": 523.8368207030466, ""9"": 539.0085812545855, ""10"": 524.3110415259399, ""11"": 464.59495184671704, ""12"": -0.11631545011157451, ""13"": -0.0647326801634982, ""14"": 0.05027263818486459}",7,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Total North America"", ""1"": 989.8772824883714, ""2"": 887.7573555438765, ""3"": 734.5215785909872, ""4"": 776.2384471270744, ""5"": 753.0480992274465, ""6"": 703.673876861876, ""7"": 539.6306738090426, ""8"": 576.9888356956408, ""9"": 592.193664586012, ""10"": 578.2793794663424, ""11"": 512.3548661499834, ""12"": -0.11642191022263038, ""13"": -0.06373465042510851, ""14"": 0.055440617048957835}",8,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Brazil"", ""1"": 9.351638, ""2"": 8.049604, ""3"": 7.500464, ""4"": 5.841825, ""5"": 6.432748999999999, ""6"": 5.843574000000001, ""7"": 7.060094336269092, ""8"": 7.993742131902345, ""9"": 7.589719220152899, ""10"": 7.67565310369885, ""11"": 7.5949121420830625, ""12"": -0.013222599603692875, ""13"": -0.020592316563691426, ""14"": 0.00082182612757004}",9,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Colombia"", ""1"": 88.57797000000002, ""2"": 86.7, ""3"": 91.5, ""4"": 91.8, ""5"": 87.9, ""6"": 88.5, ""7"": 56.800000000000004, ""8"": 63.7, ""9"": 66.8, ""10"": 68, ""11"": 52.746743849493484, ""12"": -0.2264319549555962, ""13"": -0.0505174375325409, ""14"": 0.005707591006822206}",10,T11.2Production,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
