dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.3 : Coal Consumption  in major Coal Consuming Countries of the World"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",1,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(Qty. in Exajoules)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",2,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Countries"", ""1"": 2014, ""2"": 2015, ""3"": 2016, ""4"": 2017, ""5"": 2018, ""6"": 2019, ""7"": 2020, ""8"": 2021, ""9"": 2022, ""10"": 2023, ""11"": 2024, ""12"": ""Change\n2024\nover\n2023"", ""13"": ""Average Growth Rate Per Annum 2014-24"", ""14"": ""2024 Share of Total""}",3,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)"", ""11"": ""(12)"", ""12"": ""(13)"", ""13"": ""(14)"", ""14"": ""(15)""}",4,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Canada"", ""1"": 0.8193506002426147, ""2"": 0.7716262936592102, ""3"": 0.7690373063087463, ""4"": 0.7896642684936523, ""5"": 0.6514623165130615, ""6"": 0.608955979347229, ""7"": 0.5262410044670105, ""8"": 0.47244200110435486, ""9"": 0.3851119875907898, ""10"": 0.3706809878349304, ""11"": 0.2921139895915985, ""12"": -0.21410627062776733, ""13"": -0.09799642671770059, ""14"": 0.00176972343754456}",5,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Mexico"", ""1"": 0.5325798392295837, ""2"": 0.531541645526886, ""3"": 0.5206798911094666, ""4"": 0.6363100409507751, ""5"": 0.5671636462211609, ""6"": 0.5414934158325195, ""7"": 0.23936760425567627, ""8"": 0.19845439493656158, ""9"": 0.24421299993991852, ""10"": 0.2782990038394928, ""11"": 0.28235962986946106, ""12"": 0.011818768971644689, ""13"": -0.061483768308274844, ""14"": 0.0017106282910141187}",6,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""US"", ""1"": 18.039081573486328, ""2"": 15.58467960357666, ""3"": 14.258667945861816, ""4"": 13.869333267211914, ""5"": 13.282051086425781, ""6"": 11.341655731201172, ""7"": 9.202253341674805, ""8"": 10.572819709777832, ""9"": 9.910711288452148, ""10"": 8.190751075744629, ""11"": 7.904257297515869, ""12"": -0.03761439052336579, ""13"": -0.0792013696239845, ""14"": 0.047886612398651024}",7,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Total North America"", ""1"": 19.391012012958527, ""2"": 16.887847542762756, ""3"": 15.54838514328003, ""4"": 15.295307576656342, ""5"": 14.500677049160004, ""6"": 12.49210512638092, ""7"": 9.967861950397491, ""8"": 11.243716105818748, ""9"": 10.540036275982857, ""10"": 8.839731067419052, ""11"": 8.478730916976929, ""12"": -0.04345902369419474, ""13"": -0.07939561810250506, ""14"": 0.0513669641272097}",8,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Argentina"", ""1"": 0.057210180908441544, ""2"": 0.056930866092443466, ""3"": 0.04387911036610603, ""4"": 0.04509103670716286, ""5"": 0.04935293272137642, ""6"": 0.029246265068650246, ""7"": 0.03605516999959946, ""8"": 0.05058864504098892, ""9"": 0.0536096915602684, ""10"": 0.04789365828037262, ""11"": 0.03582853823900223, ""12"": -0.2539587214480089, ""13"": -0.045720538367581054, ""14"": 0.00021706116828972086}",9,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Brazil"", ""1"": 0.7335708141326904, ""2"": 0.7379316091537476, ""3"": 0.6665387749671936, ""4"": 0.7029889822006226, ""5"": 0.6875225901603699, ""6"": 0.6462446451187134, ""7"": 0.5842636227607727, ""8"": 0.7094423770904541, ""9"": 0.5859605073928833, ""10"": 0.5733676552772522, ""11"": 0.5321048498153687, ""12"": -0.07450131421993378, ""13"": -0.0315983576390545, ""14"": 0.003223667669138122}",10,T11.3- Coal Offtake,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
