dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 11.4 : Trend of  World Coal Prices upto 2024"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",1,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(in USD/ Tonne)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",2,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""Year"", ""1"": ""United States1"", ""2"": ""Colombia2"", ""3"": ""Northwest Europe3"", ""4"": ""South Africa4"", ""5"": ""Indonesia5"", ""6"": ""South China6"", ""7"": ""Japan7"", ""8"": "" Australia8""}",3,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)""}",4,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1987, ""1"": ""-"", ""2"": ""-"", ""3"": 31.3, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",5,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1988, ""1"": ""-"", ""2"": ""-"", ""3"": 39.94, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",6,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1989, ""1"": ""-"", ""2"": ""-"", ""3"": 42.08, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",7,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1990, ""1"": 31.591918000000003, ""2"": ""-"", ""3"": 43.48, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",8,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1991, ""1"": 29.01053181818182, ""2"": ""-"", ""3"": 42.8, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",9,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1992, ""1"": 28.534538636363642, ""2"": ""-"", ""3"": 38.53, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",10,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1993, ""1"": 29.853958333333335, ""2"": ""-"", ""3"": 33.68, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",11,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1994, ""1"": 31.716177272727272, ""2"": ""-"", ""3"": 37.18, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",12,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1995, ""1"": 27.00635, ""2"": ""-"", ""3"": 44.5, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",13,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1996, ""1"": 29.86230909090909, ""2"": ""-"", ""3"": 41.25, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",14,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1997, ""1"": 29.76, ""2"": ""-"", ""3"": 38.92, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",15,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1998, ""1"": 31.003106083333336, ""2"": ""-"", ""3"": 32, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",16,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 1999, ""1"": 31.294297, ""2"": ""-"", ""3"": 28.79, ""4"": null, ""5"": ""-"", ""6"": ""-"", ""7"": ""-"", ""8"": ""-""}",17,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2000, ""1"": 29.90448041666667, ""2"": ""-"", ""3"": 35.99, ""4"": null, ""5"": ""-"", ""6"": 27.52109363476392, ""7"": ""-"", ""8"": ""-""}",18,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2001, ""1"": 50.154650000000004, ""2"": ""-"", ""3"": 39.03423076923077, ""4"": null, ""5"": ""-"", ""6"": 31.784010517913995, ""7"": 37.689875, ""8"": ""-""}",19,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2002, ""1"": 33.197984409722224, ""2"": ""-"", ""3"": 31.649615384615387, ""4"": null, ""5"": ""-"", ""6"": 33.19486597604571, ""7"": 31.474741666666663, ""8"": ""-""}",20,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2003, ""1"": 38.52270579861111, ""2"": ""-"", ""3"": 43.59788461538461, ""4"": null, ""5"": ""-"", ""6"": 31.7443731971024, ""7"": 39.61259583333332, ""8"": ""-""}",21,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2004, ""1"": 64.90173993055556, ""2"": ""-"", ""3"": 72.13433962264152, ""4"": null, ""5"": ""-"", ""6"": 42.760458735920174, ""7"": 74.21583333333334, ""8"": ""-""}",22,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2005, ""1"": 70.12235520833333, ""2"": ""-"", ""3"": 60.53923076923078, ""4"": null, ""5"": ""-"", ""6"": 51.341535682019334, ""7"": 64.62308333333334, ""8"": ""-""}",23,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2006, ""1"": 57.81671568627452, ""2"": ""-"", ""3"": 64.10807692307692, ""4"": null, ""5"": ""-"", ""6"": 53.526239931258694, ""7"": 65.2175, ""8"": ""-""}",24,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2007, ""1"": 49.73318235294115, ""2"": ""-"", ""3"": 88.78519230769233, ""4"": null, ""5"": ""-"", ""6"": 61.22782584378276, ""7"": 95.58603333333333, ""8"": ""-""}",25,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
production,"{""0"": 2008, ""1"": 117.41764441176473, ""2"": ""-"", ""3"": 147.67365384615388, ""4"": null, ""5"": ""-"", ""6"": 104.97216258084855, ""7"": 157.8775, ""8"": ""-""}",26,T11.4-Prices,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-11,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap10.xlsx
