dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 12.2 :  State Wise Number of Producing Coal & Lignite Mines as on 31/03/2025"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null}",1,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Coal / Lignite"", ""1"": ""States"", ""2"": ""Coal producing  Mines"", ""3"": null, ""4"": null, ""5"": null, ""6"": ""Coal Non-producing  Mines"", ""7"": null, ""8"": null, ""9"": null, ""10"": ""Total Coal operational  Mines"", ""11"": null, ""12"": null, ""13"": null}",2,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": null, ""2"": ""OC"", ""3"": ""UG"", ""4"": ""Mixed"", ""5"": ""Total"", ""6"": ""OC"", ""7"": ""UG"", ""8"": ""Mixed"", ""9"": ""Total"", ""10"": ""OC"", ""11"": ""UG"", ""12"": ""Mixed"", ""13"": ""Total""}",3,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)"", ""11"": ""(12)"", ""12"": ""(13)"", ""13"": ""(14)""}",4,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Coal"", ""1"": ""Assam"", ""2"": 1, ""3"": 0, ""4"": 0, ""5"": 1, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 1, ""11"": 0, ""12"": 0, ""13"": 1}",5,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": ""Chhattisgarh "", ""2"": 22, ""3"": 19, ""4"": 2, ""5"": 43, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 4, ""10"": 23, ""11"": 21, ""12"": 3, ""13"": 47}",6,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": ""J & K"", ""2"": 0, ""3"": 2, ""4"": 0, ""5"": 2, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 2, ""12"": 0, ""13"": 2}",7,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": ""Jharkhand"", ""2"": 76, ""3"": 15, ""4"": 5, ""5"": 96, ""6"": 12, ""7"": 12, ""8"": 0, ""9"": 24, ""10"": 88, ""11"": 27, ""12"": 5, ""13"": 120}",8,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": ""Madhya Pradesh"", ""2"": 18, ""3"": 30, ""4"": 0, ""5"": 48, ""6"": 1, ""7"": 8, ""8"": 1, ""9"": 10, ""10"": 19, ""11"": 38, ""12"": 1, ""13"": 58}",9,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": null, ""1"": ""Maharashtra"", ""2"": 34, ""3"": 10, ""4"": 0, ""5"": 44, ""6"": 2, ""7"": 4, ""8"": 0, ""9"": 6, ""10"": 36, ""11"": 14, ""12"": 0, ""13"": 50}",10,tab12.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
