dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 12.8 : Number of Coal producing Mines Captive, Non-Captive, Public and Private\nas well as State Wise breakup as on 31/03/2025"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null}",1,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""State"", ""1"": ""Captive"", ""2"": ""Non-Captive"", ""3"": ""Total"", ""4"": ""Public"", ""5"": ""Private"", ""6"": ""Total""}",2,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)""}",3,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Assam"", ""1"": 0, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 0, ""6"": 1}",4,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Chhattisgarh"", ""1"": 6, ""2"": 37, ""3"": 43, ""4"": 36, ""5"": 7, ""6"": 43}",5,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Jammu & Kashmir"", ""1"": 0, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 0, ""6"": 2}",6,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Jharkhand"", ""1"": 11, ""2"": 85, ""3"": 96, ""4"": 92, ""5"": 4, ""6"": 96}",7,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Madhya Pradesh"", ""1"": 5, ""2"": 43, ""3"": 48, ""4"": 43, ""5"": 5, ""6"": 48}",8,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Maharashtra"", ""1"": 4, ""2"": 40, ""3"": 44, ""4"": 40, ""5"": 4, ""6"": 44}",9,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
production,"{""0"": ""Odisha"", ""1"": 5, ""2"": 19, ""3"": 24, ""4"": 22, ""5"": 2, ""6"": 24}",10,tab12.8 & 9,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-12,coal_statistics,Coal Directory chapter 1: Indian coal economy overview,https://coal.gov.in/sites/default/files/2024-03/cdchap11.xlsx
