dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 3.11 : Company Wise Production of Coal in last Three Years"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",1,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",2,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Company"", ""1"": ""2022-23"", ""2"": null, ""3"": null, ""4"": ""2023-24"", ""5"": null, ""6"": null, ""7"": ""2024-25"", ""8"": null, ""9"": null}",3,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""Coking"", ""2"": ""Non-Coking"", ""3"": ""Total"", ""4"": ""Coking"", ""5"": ""Non-Coking"", ""6"": ""Total"", ""7"": ""Coking"", ""8"": ""Non-Coking"", ""9"": ""Total""}",4,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)""}",5,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""ECL"", ""1"": 0.007, ""2"": 35.011, ""3"": 35.018, ""4"": 0.012, ""5"": 47.548, ""6"": 47.56, ""7"": 0.017071296, ""8"": 52.017537068, ""9"": 52.034608364}",6,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""BCCL"", ""1"": 33.716, ""2"": 2.463, ""3"": 36.179, ""4"": 39.109, ""5"": 1.987, ""6"": 41.096000000000004, ""7"": 38.888155602000005, ""8"": 1.614008, ""9"": 40.502163602}",7,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""CCL"", ""1"": 20.554, ""2"": 55.533, ""3"": 76.087, ""4"": 21.06, ""5"": 64.994, ""6"": 86.054, ""7"": 20.539223975000002, ""8"": 66.99769478, ""9"": 87.536918755}",8,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""NCL"", ""1"": 0, ""2"": 131.169, ""3"": 131.169, ""4"": null, ""5"": 136.148, ""6"": 136.148, ""7"": null, ""8"": 139.00021964, ""9"": 139.00021964}",9,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""WCL"", ""1"": 0.094, ""2"": 64.18900000000001, ""3"": 64.283, ""4"": 0.036, ""5"": 69.077, ""6"": 69.113, ""7"": null, ""8"": 69.12097108099998, ""9"": 69.12097108099998}",10,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""SECL"", ""1"": 0.247, ""2"": 164.708, ""3"": 164.955, ""4"": 0.216, ""5"": 187.16, ""6"": 187.376, ""7"": 0.22267, ""8"": 167.2644767, ""9"": 167.48714669999998}",11,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""SECL(GP-IV/2&3)"", ""1"": 0, ""2"": 2.051, ""3"": 2.051, ""4"": null, ""5"": 0.16, ""6"": 0.16, ""7"": null, ""8"": null, ""9"": 0}",12,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""MCL"", ""1"": 0, ""2"": 193.262, ""3"": 193.262, ""4"": null, ""5"": 206.099, ""6"": 206.099, ""7"": null, ""8"": 225.17363553, ""9"": 225.17363553}",13,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""NEC"", ""1"": 0, ""2"": 0.2, ""3"": 0.2, ""4"": null, ""5"": 0.2, ""6"": 0.2, ""7"": null, ""8"": 0.2, ""9"": 0.2}",14,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""CIL"", ""1"": 54.618, ""2"": 648.586, ""3"": 703.2040000000001, ""4"": 60.433, ""5"": 713.373, ""6"": 773.806, ""7"": 59.66712087300001, ""8"": 721.3885427990001, ""9"": 781.055663672}",15,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""SCCL"", ""1"": null, ""2"": 67.137, ""3"": 67.137, ""4"": null, ""5"": 70.021, ""6"": 70.021, ""7"": null, ""8"": 69.00639605600001, ""9"": 69.00639605600001}",16,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""JKML"", ""1"": null, ""2"": 0.01, ""3"": 0.01, ""4"": null, ""5"": 0.008, ""6"": 0.008, ""7"": null, ""8"": 0.010232, ""9"": 0.010232}",17,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""DVC"", ""1"": null, ""2"": 0.033, ""3"": 0.033, ""4"": null, ""5"": 1.52, ""6"": 1.52, ""7"": null, ""8"": 4.01, ""9"": 4.01}",18,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""IISCO"", ""1"": 0.069, ""2"": 0.017, ""3"": 0.08600000000000001, ""4"": 0.131, ""5"": 0.075, ""6"": 0.20600000000000002, ""7"": 0.0896747, ""8"": 0.09835200000000001, ""9"": 0.1880267}",19,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""SAIL"", ""1"": 0.303, ""2"": null, ""3"": 0.303, ""4"": 0.333, ""5"": null, ""6"": 0.333, ""7"": 0.49753358000000003, ""8"": null, ""9"": 0.49753358000000003}",20,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""JSMDCL"", ""1"": null, ""2"": 0.305, ""3"": 0.305, ""4"": null, ""5"": 0.336, ""6"": 0.336, ""7"": null, ""8"": 0.13058799999999998, ""9"": 0.13058799999999998}",21,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""RRVUNL"", ""1"": null, ""2"": 11.801, ""3"": 11.801, ""4"": null, ""5"": 6.701, ""6"": 6.701, ""7"": null, ""8"": 16.323368300000002, ""9"": 16.323368300000002}",22,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""NTPC"", ""1"": null, ""2"": 23.203, ""3"": 23.203, ""4"": null, ""5"": 34.39, ""6"": 34.39, ""7"": null, ""8"": 42.033972125, ""9"": 42.033972125}",23,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""WBPDCL"", ""1"": null, ""2"": 18.714, ""3"": 18.714, ""4"": null, ""5"": 18.44, ""6"": 18.44, ""7"": null, ""8"": 18.164936110000003, ""9"": 18.164936110000003}",24,PT11,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
