dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table  3.14 : State Wise Production of Lignite in last Five Years"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null}",1,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null}",2,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": "" State"", ""1"": ""2020-21"", ""2"": ""2021-22"", ""3"": ""2022-23"", ""4"": ""2023-24"", ""5"": ""2024-25""}",3,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)""}",4,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Gujarat"", ""1"": 10.813, ""2"": 13.331, ""3"": 12.313, ""4"": 11.326, ""5"": 13.298650594000003}",5,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Rajasthan"", ""1"": 9.056, ""2"": 10.526, ""3"": 10.197, ""4"": 10.015, ""5"": 9.87510348}",6,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Tamilnadu"", ""1"": 18.026, ""2"": 23.635, ""3"": 21.519, ""4"": 21.58, ""5"": 21.959744080000004}",7,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Total Lignite"", ""1"": 37.894999999999996, ""2"": 47.492000000000004, ""3"": 44.028999999999996, ""4"": 42.921, ""5"": 45.13349815400001}",8,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Table  3.14a: Company Wise Production of Lignite in India during last Five Years"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null}",9,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null}",10,PT14 & 14a,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
