dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table  3.14: Company Wise Production of Different Coal Products (Coking) in Last Three Years"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",1,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",2,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Year"", ""1"": ""Companies"", ""2"": ""Washed\nCoal\n(Coking)"", ""3"": ""Middling\n (Coking)"", ""4"": ""Hard Coke"", ""5"": ""CIL Coke"", ""6"": ""Coke Fines"", ""7"": ""Coal Gas\n(Mill. NM3)"", ""8"": ""Coal fines""}",3,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)""}",4,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2000-01"", ""1"": ""BCCL"", ""2"": 3073.4, ""3"": 2016.4, ""4"": 91.2, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",5,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""CCL"", ""2"": 2082, ""3"": 2293, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",6,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""WCL"", ""2"": 281, ""3"": 255, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",7,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""DCC"", ""2"": null, ""3"": null, ""4"": null, ""5"": 65.3, ""6"": 36.9, ""7"": 52, ""8"": 16.7}",8,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""SAIL"", ""2"": 563, ""3"": 104.3, ""4"": 9035.4, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",9,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""RINL"", ""2"": null, ""3"": null, ""4"": 1680, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",10,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""TSL"", ""2"": 2642.8, ""3"": 1610.6, ""4"": 2574.1, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",11,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""NLC"", ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",12,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""TOTAL"", ""2"": 8642.2, ""3"": 6279.299999999999, ""4"": 13380.7, ""5"": 65.3, ""6"": 36.9, ""7"": 52, ""8"": 16.7}",13,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2001-02"", ""1"": ""BCCL"", ""2"": 2339.2, ""3"": 1534.8, ""4"": 94.6, ""5"": null, ""6"": null, ""7"": null, ""8"": null}",14,PT14.zero,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
