dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""TABLE 3.6 : SHARE OF RAW COAL PRODUCTION BY STATES IN LAST  TEN YEARS"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",1,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""     (Quantity in  Million Tonnes)"", ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",2,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""Year"", ""1"": ""State: Arunachal Pradesh"", ""2"": null, ""3"": null, ""4"": ""State: Assam"", ""5"": null, ""6"": null, ""7"": ""State: Chhattisgarh"", ""8"": null, ""9"": null}",3,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": null, ""1"": ""Quantity"", ""2"": ""Share (%)"", ""3"": ""Growth (%)"", ""4"": ""Quantity"", ""5"": ""Share (%)"", ""6"": ""Growth (%)"", ""7"": ""Quantity"", ""8"": ""Share (%)"", ""9"": ""Growth (%)""}",4,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)""}",5,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2005-06"", ""1"": null, ""2"": null, ""3"": null, ""4"": 1.101, ""5"": 0.2704900513218635, ""6"": 75.31847133757961, ""7"": 76.358, ""8"": 18.759381779141556, ""9"": 10.259483343681868}",6,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2006-07"", ""1"": null, ""2"": null, ""3"": null, ""4"": 1.05, ""5"": 0.24371448731756226, ""6"": -4.6321525885558525, ""7"": 83.241, ""8"": 19.320988227429716, ""9"": 9.014117708688016}",7,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2007-08"", ""1"": 0.079, ""2"": 0.01728355087270993, ""3"": 0, ""4"": 1.101, ""5"": 0.24087581659308394, ""6"": 4.8571428571428505, ""7"": 90.17200000000001, ""8"": 19.727751256886076, ""9"": 8.32642567965307}",8,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2008-09"", ""1"": 0.142, ""2"": 0.028817449574536733, ""3"": 79.74683544303797, ""4"": 1.009, ""5"": 0.20476624380779976, ""6"": -8.3560399636694, ""7"": 101.922, ""8"": 20.684028841802345, ""9"": 13.030652530719053}",9,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
production,"{""0"": ""2009-10"", ""1"": 0.251, ""2"": 0.04717672664939986, ""3"": 76.76056338028171, ""4"": 1.113, ""5"": 0.20919401099913162, ""6"": 10.307234886025778, ""7"": 109.953, ""8"": 20.66622559873093, ""9"": 7.879554953788197}",10,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,coal_statistics,Coal Directory chapter 2: Coal and lignite resources,https://coal.gov.in/sites/default/files/2024-03/cdchap2.xlsx
