dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
production,"{""0"": ""Table 4.32 : Month Wise and Grade Wise Coking Coal Despatch during 2024-25"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null}",1,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""(Qty. in MT)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null}",2,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""Month"", ""1"": ""Quantity"", ""2"": ""Steel-I"", ""3"": ""Steel-II"", ""4"": ""SC-1"", ""5"": ""Wash-I"", ""6"": ""Wash-II"", ""7"": ""Wash-III"", ""8"": ""Wash-IV"", ""9"": ""Wash-V"", ""10"": ""Wash-VI"", ""11"": ""Total\nCoking"", ""12"": ""Share\n%""}",3,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)"", ""11"": ""(12)"", ""12"": ""(13)""}",4,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""2024-04-01T00:00:00"", ""1"": ""Quantity"", ""2"": null, ""3"": null, ""4"": 0.01629533999999999, ""5"": 0.15902353999999994, ""6"": 0.332856665, ""7"": 0.6136729650000002, ""8"": 2.7789111641666677, ""9"": 1.2648054699999998, ""10"": 0.0053866800000000005, ""11"": 5.170951824166668, ""12"": 0.08378260325142528}",5,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": null, ""1"": ""(Growth %)"", ""2"": null, ""3"": null, ""4"": -4.145058823529468, ""5"": 695.1176999999998, ""6"": 55.5404976635514, ""7"": 114.57096678321689, ""8"": -4.570358373397397, ""9"": -27.351782309017825, ""10"": -97.1944375, ""11"": -3.9213707884305427, ""12"": null}",6,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""2024-05-01T00:00:00"", ""1"": ""Quantity"", ""2"": null, ""3"": null, ""4"": 0.017814219999999988, ""5"": 0.1244536, ""6"": 0.5153255800000001, ""7"": 0.49819540000000057, ""8"": 2.824286514166668, ""9"": 1.517489361, ""10"": 0.020130290000000002, ""11"": 5.517694965166669, ""12"": 0.08940072618128604}",7,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": null, ""1"": ""(Growth %)"", ""2"": null, ""3"": null, ""4"": -1.032111111111169, ""5"": 632.0799999999999, ""6"": 186.29198888888894, ""7"": 106.72008298755212, ""8"": -5.8571161944443935, ""9"": -20.25804724119811, ""10"": -90.45957819905213, ""11"": -0.9390490993416764, ""12"": null}",8,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": ""2024-06-01T00:00:00"", ""1"": ""Quantity"", ""2"": null, ""3"": 0.0006574599999999999, ""4"": 0.016015460000000002, ""5"": 0.11195202500000001, ""6"": 0.5653562000000001, ""7"": 0.45868383000000057, ""8"": 2.5204242141666673, ""9"": 1.4804368800000005, ""10"": 0.0018423200000000002, ""11"": 5.155368389166668, ""12"": 0.08353011187337811}",9,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
production,"{""0"": null, ""1"": ""(Growth %)"", ""2"": null, ""3"": null, ""4"": 23.195846153846176, ""5"": 761.1694230769233, ""6"": 271.94486842105266, ""7"": 91.11826250000024, ""8"": -6.024451373353194, ""9"": -25.8298156312625, ""10"": -99.09245320197043, ""11"": -2.710541816065907, ""12"": null}",10,PT32,coal-statistics-coal-directory-chapter-3-production-productivity-and-overburden-4,coal_statistics,"Coal Directory chapter 3: Production, productivity and overburden",https://coal.gov.in/sites/default/files/2024-03/cdchap3.xlsx
