dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
power_use,"{""0"": ""TABLE-5.4 : SHARE OF RAW COAL PIT-HEAD CLOSING STOCK BY STATES IN LAST TEN YEARS "", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",1,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": null, ""1"": ""(Quantity in Million Tonnes)"", ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null}",2,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""Year"", ""1"": ""State: Arunachal Pradesh"", ""2"": null, ""3"": null, ""4"": ""State: Assam"", ""5"": null, ""6"": null, ""7"": ""State: Chhattisgarh"", ""8"": null, ""9"": null}",3,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": null, ""1"": ""Quantity"", ""2"": ""Share(%)"", ""3"": ""Growth(%)"", ""4"": ""Quantity"", ""5"": ""Share(%)"", ""6"": ""Growth(%)"", ""7"": ""Quantity"", ""8"": ""Share(%)"", ""9"": ""Growth(%)""}",4,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)""}",5,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""2004-05"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.388, ""5"": 1.618757561850724, ""6"": 17.22054380664652, ""7"": 2.887, ""8"": 12.044724435729483, ""9"": -9.89388264669164}",6,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""2005-06"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.316, ""5"": 0.9203704782431411, ""6"": -18.556701030927837, ""7"": 4.589, ""8"": 13.365759888157514, ""9"": 58.953931416695546}",7,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""2006-07"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.182, ""5"": 0.41039054748804893, ""6"": -42.40506329113924, ""7"": 7.066, ""8"": 15.933074772255791, ""9"": 53.976901285683134}",8,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""2007-08"", ""1"": 0.01, ""2"": 0.021377113662113343, ""3"": 0, ""4"": 0.079, ""5"": 0.16887919793069542, ""6"": -56.59340659340659, ""7"": 6.012, ""8"": 12.85192073366254, ""9"": -14.916501556750642}",9,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
power_use,"{""0"": ""2008-09"", ""1"": 0.022, ""2"": 0.04649491726018133, ""3"": 120, ""4"": 0.252, ""5"": 0.5325781431620771, ""6"": 218.98734177215186, ""7"": 4.303, ""8"": 9.093983135025468, ""9"": -28.426480372588156}",10,ST4-5_Revised,coal-statistics-coal-directory-chapter-4-dispatch-and-off-take-5,coal_statistics,Coal Directory chapter 4: Dispatch and off-take,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
