dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
coal_supply_chain,"{""0"": null, ""1"": ""Table 7.2 : State Wise Payment of Royalty, DMF, NMET and other Taxes during 2024-25 (Coal)"", ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null}",1,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": ""(Figure in Crore Rupees)"", ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null}",2,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": ""Company"", ""2"": ""Amount of Royalty Paid"", ""3"": ""Amount of DMF Paid"", ""4"": ""Amount of NMET Paid"", ""5"": ""Central GST Paid"", ""6"": ""State GST Paid"", ""7"": ""IGST"", ""8"": ""Cess On Coal Paid"", ""9"": ""Entry Tax Paid on Coal"", ""10"": ""Corporate Income Tax"", ""11"": ""Dividend"", ""12"": ""Total"", ""13"": ""Share\n(%)""}",3,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": ""(1)"", ""2"": ""(2)"", ""3"": ""(3)"", ""4"": ""(4)"", ""5"": ""(5)"", ""6"": ""(6)"", ""7"": ""(7)"", ""8"": ""(8)"", ""9"": ""(9)"", ""10"": ""(10)"", ""11"": ""(11)"", ""12"": ""(12)"", ""13"": ""(13)""}",4,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""ASM"", ""1"": ""Assam"", ""2"": 23.2727988, ""3"": 6.981839844, ""4"": 0.4654562, ""5"": 4.396534, ""6"": 4.396534, ""7"": 0.0004363, ""8"": 10.5015592, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 50.015158344, ""13"": 0.00045597902723401893}",5,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""CHG"", ""1"": ""Chhattisgarh"", ""2"": 3462.2740675656, ""3"": 894.9766369042597, ""4"": 67.859203852452, ""5"": 445.397559344668, ""6"": 445.397559344668, ""7"": 438.0360971191495, ""8"": 6977.27205412, ""9"": 8.3881773, ""10"": 2081.001084, ""11"": 35.238127, ""12"": 14855.840566550796, ""13"": 0.13543797429748888}",6,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""J&K"", ""1"": ""Jammu & Kashmir"", ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0.0495876, ""6"": 0.0495876, ""7"": 0, ""8"": 0.087962, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0.1871372, ""13"": 1.7060955366451343e-06}",7,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""JKD"", ""1"": ""Jharkhand"", ""2"": 5380.9204697899195, ""3"": 1609.2877557131762, ""4"": 107.93660276447841, ""5"": 992.2476639033017, ""6"": 986.5476639033018, ""7"": 503.920062497, ""8"": 8069.269288280001, ""9"": 0, ""10"": 1791.6331519, ""11"": 0, ""12"": 19441.76265875118, ""13"": 0.17724698508158415}",8,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""MP"", ""1"": ""Maharashtra"", ""2"": 2207.6005239819997, ""3"": 626.3378863169999, ""4"": 43.331061682999994, ""5"": 268.06000386, ""6"": 268.06000386, ""7"": 1.450337107, ""8"": 2805.8330848, ""9"": 0, ""10"": 1700.0889986, ""11"": 12.8081528, ""12"": 7933.570053009, ""13"": 0.07232890337730903}",9,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""MAH"", ""1"": ""Madhya Pradesh"", ""2"": 3933.3937935430004, ""3"": 1136.21729684, ""4"": 74.58242177199999, ""5"": 459.89086232700004, ""6"": 459.89086232200003, ""7"": 43.43970128299999, ""8"": 5735.516911720001, ""9"": 32.01243994200001, ""10"": 3459.75606527, ""11"": 0, ""12"": 15334.700355019002, ""13"": 0.13980365117939392}",10,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": ""ODI"", ""1"": ""Odisha"", ""2"": 3686.7126998840595, ""3"": 981.1872336284059, ""4"": 69.7580215656812, ""5"": 565.0342227957144, ""6"": 568.7962227957145, ""7"": 9.275285313, ""8"": 9510.737860399999, ""9"": 244.90610622199998, ""10"": 4074.3621289840003, ""11"": 4.16e-05, ""12"": 19710.769823188573, ""13"": 0.17969947407133177}",11,tb7.2&3,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
