dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""Table 7.4 : Company Wise Payment of Royalty, DMF, NMET and other Taxes during 2024-25 (Lignite)"", ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",1,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""(Figure in Crore Rupees)"", ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null}",2,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""Company"", ""3"": ""Amount of Royalty Paid"", ""4"": ""Amount of DMF Paid"", ""5"": ""Amount of NMET Paid"", ""6"": ""Central GST Paid"", ""7"": ""State GST Paid"", ""8"": ""IGST"", ""9"": ""Cess On Coal Paid"", ""10"": ""Entry Tax Paid on Coal"", ""11"": ""Corporate Income Tax"", ""12"": ""Dividend"", ""13"": ""Total"", ""14"": ""Share\n(%)""}",3,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""(1)"", ""3"": ""(2)"", ""4"": ""(3)"", ""5"": ""(4)"", ""6"": ""(5)"", ""7"": ""(6)"", ""8"": ""(7)"", ""9"": ""(8)"", ""10"": ""(9)"", ""11"": ""(10)"", ""12"": ""(11)"", ""13"": ""(12)"", ""14"": ""(13)""}",4,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""BLMCL"", ""3"": 77.85501409431998, ""4"": 23.356504257196, ""5"": 1.5571002829464, ""6"": 35.008804664961566, ""7"": 0, ""8"": 35.008804664961566, ""9"": 234.87668, ""10"": 0, ""11"": 15.78, ""12"": 0, ""13"": 423.4429079643855, ""14"": 0.11124542331492812}",5,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""GIPCL"", ""3"": 2.20727390654, ""4"": 0.6621821719320001, ""5"": 0.0441454781688, ""6"": 0.1986546516096, ""7"": 0, ""8"": 0.1986546516096, ""9"": 0, ""10"": 0, ""11"": 0.0441054781688, ""12"": 59.74421926, ""13"": 63.0992355980288, ""14"": 0.016577208031882975}",6,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""GMDCL"", ""3"": 118.44193408095998, ""4"": 35.532685644288, ""5"": 2.3690888696192, ""6"": 56.1590723, ""7"": 0.000141, ""8"": 56.1590723, ""9"": 316.3829642, ""10"": 0, ""11"": 250.42, ""12"": 303.69, ""13"": 1139.1549583948672, ""14"": 0.2992747621565901}",7,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""GPCL"", ""3"": 11.699998907, ""4"": 3.499342346, ""5"": 0.233289267, ""6"": 11.2534743, ""7"": 0, ""8"": 11.2534743, ""9"": 71.3919352, ""10"": 0, ""11"": 35.712, ""12"": 2.720304, ""13"": 147.76381832, ""14"": 0.038819987796373925}",8,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""NLCIL"", ""3"": 300.6283206, ""4"": 95.1599726, ""5"": 5.8400447, ""6"": 39.862696906000004, ""7"": 0.0513966, ""8"": 39.040751406, ""9"": 69.6051257, ""10"": 0, ""11"": 472, ""12"": 415.9909827, ""13"": 1438.179291212, ""14"": 0.37783337740326156}",9,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
coal_supply_chain,"{""0"": null, ""1"": null, ""2"": ""RSMML"", ""3"": 17.0970166, ""4"": 5.1290959, ""5"": 0.3419289, ""6"": 5.8537185, ""7"": 3.9445996, ""8"": 5.8537185, ""9"": 42.4003132, ""10"": 0, ""11"": 160.95, ""12"": 19.39, ""13"": 260.9603912, ""14"": 0.06855859111451909}",10,tb7.4-5&6,coal-statistics-coal-directory-chapter-6-coal-washeries-7,coal_statistics,Coal Directory chapter 6: Coal washeries,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
