dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
imports,"{""0"": ""Table 8.6 : Port Wise Export of Coal, Coke & Other Coal Products from India during 2024-25"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null}",1,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""( Qty. in MT & Value in Million Rs. & US $)"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null}",2,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Port"", ""1"": ""Coking Coal"", ""2"": null, ""3"": null, ""4"": ""Non Coking Coal"", ""5"": null, ""6"": null, ""7"": ""Total Coal"", ""8"": null, ""9"": null, ""10"": ""Coke & Coal Products"", ""11"": null, ""12"": null, ""13"": null}",3,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Qty."", ""2"": ""Value\n(Rs)"", ""3"": ""Value\n($)"", ""4"": ""Qty."", ""5"": ""Value\n(Rs)"", ""6"": ""Value\n($)"", ""7"": ""Qty."", ""8"": ""Value\n(Rs)"", ""9"": ""Value\n($)"", ""10"": ""Qty."", ""11"": ""Value\n(Rs)"", ""12"": ""Value\n($)"", ""13"": null}",4,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(4)"", ""4"": ""(5)"", ""5"": ""(6)"", ""6"": ""(7)"", ""7"": ""(8)"", ""8"": ""(9)"", ""9"": ""(10)"", ""10"": ""(11)"", ""11"": ""(12)"", ""12"": ""(13)"", ""13"": ""%""}",5,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Ahmedabad Air Cargo Complex"", ""1"": 2.1e-07, ""2"": 0.00349, ""3"": 4.2e-05, ""4"": null, ""5"": null, ""6"": null, ""7"": 2.1e-07, ""8"": 0.00349, ""9"": 4.2e-05, ""10"": null, ""11"": null, ""12"": null, ""13"": 1.0970790354789765e-07}",6,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Bairgania"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.0140679, ""5"": 122.79673700000001, ""6"": 1.435301, ""7"": 0.0140679, ""8"": 122.79673700000001, ""9"": 1.435301, ""10"": 4.833e-05, ""11"": 0.38664, ""12"": 0.004535, ""13"": 0.007349332458673663}",7,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Bangalore Airport"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 4e-06, ""11"": 0.4368, ""12"": 0.005198, ""13"": 0}",8,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Barhni"", ""1"": 0.0025986250000000002, ""2"": 21.358137999999997, ""3"": 0.25371299999999997, ""4"": 0.17718356000000002, ""5"": 1387.713084, ""6"": 16.349213, ""7"": 0.179782185, ""8"": 1409.071222, ""9"": 16.602926, ""10"": 6e-05, ""11"": 0.5225, ""12"": 0.006151, ""13"": 0.09392155529338235}",9,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Bhithamore"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.07453649999999999, ""5"": 699.928449, ""6"": 8.272846, ""7"": 0.07453649999999999, ""8"": 699.928449, ""9"": 8.272846, ""10"": 2.536e-05, ""11"": 0.41844, ""12"": 0.005018, ""13"": 0.0389392531085613}",10,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Borsorah"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.067788, ""5"": 641.261764, ""6"": 7.6641390000000005, ""7"": 0.067788, ""8"": 641.261764, ""9"": 7.6641390000000005, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.03541371126526136}",11,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Chennai Air"", ""1"": null, ""2"": null, ""3"": null, ""4"": 4.2e-08, ""5"": 0.0079, ""6"": 9.4e-05, ""7"": 4.2e-08, ""8"": 0.0079, ""9"": 9.4e-05, ""10"": null, ""11"": null, ""12"": null, ""13"": 2.1941580709579528e-08}",12,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Chennai Sea"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0.000347935, ""11"": 11.719375, ""12"": 0.136816, ""13"": 0}",13,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Concor Icd/Mmlp Khapri Nagpur"", ""1"": null, ""2"": null, ""3"": null, ""4"": 5e-07, ""5"": 0.029504, ""6"": 0.000351, ""7"": 5e-07, ""8"": 0.029504, ""9"": 0.000351, ""10"": null, ""11"": null, ""12"": null, ""13"": 2.612092941616611e-07}",14,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Darranga (Rangia)"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.00186004, ""5"": 23.14598, ""6"": 0.277172, ""7"": 0.00186004, ""8"": 23.14598, ""9"": 0.277172, ""10"": 0.0147062, ""11"": 387.82088999999996, ""12"": 4.583031, ""13"": 0.0009717194710249121}",15,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Dawki"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.006744, ""5"": 64.54628, ""6"": 0.764564, ""7"": 0.006744, ""8"": 64.54628, ""9"": 0.764564, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.0035231909596524845}",16,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Delhi (Icd)"", ""1"": null, ""2"": null, ""3"": null, ""4"": 2.65e-07, ""5"": 0.0212, ""6"": 0.000254, ""7"": 2.65e-07, ""8"": 0.0212, ""9"": 0.000254, ""10"": null, ""11"": null, ""12"": null, ""13"": 1.3844092590568038e-07}",17,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Delhi Air"", ""1"": null, ""2"": null, ""3"": null, ""4"": 6e-09, ""5"": 0.001842, ""6"": 2.2e-05, ""7"": 6e-09, ""8"": 0.001842, ""9"": 2.2e-05, ""10"": null, ""11"": null, ""12"": null, ""13"": 3.1345115299399328e-09}",18,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Dhubristeamer Ghat"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.001025, ""5"": 10.224934, ""6"": 0.120398, ""7"": 0.001025, ""8"": 10.224934, ""9"": 0.120398, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.0005354790530314053}",19,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Ghasuapara"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.0240626, ""5"": 256.788282, ""6"": 2.964489, ""7"": 0.0240626, ""8"": 256.788282, ""9"": 2.964489, ""10"": 0.000167, ""11"": 1.701719, ""12"": 0.019586, ""13"": 0.01257074952338877}",20,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Gouriphanta"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.003984591, ""5"": 35.237617, ""6"": 0.411921, ""7"": 0.003984591, ""8"": 35.237617, ""9"": 0.411921, ""10"": 5.157e-05, ""11"": 0.15471, ""12"": 0.001854, ""13"": 0.0020816244052658146}",21,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Hatisar (Deosiri)"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.02255345, ""5"": 276.347669, ""6"": 3.246307, ""7"": 0.02255345, ""8"": 276.347669, ""9"": 3.246307, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.011782341510820629}",22,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Hazira Port, Surat"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.00014052, ""5"": 8.68454, ""6"": 0.103466, ""7"": 0.00014052, ""8"": 8.68454, ""9"": 0.103466, ""10"": null, ""11"": null, ""12"": null, ""13"": 7.341026003119322e-05}",23,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Icd Chowpayal"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": null, ""11"": null, ""12"": null, ""13"": 0}",24,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Icd Kalinganagar"", ""1"": 5e-07, ""2"": 0.01234, ""3"": 0.000142, ""4"": null, ""5"": null, ""6"": null, ""7"": 5e-07, ""8"": 0.01234, ""9"": 0.000142, ""10"": null, ""11"": null, ""12"": null, ""13"": 2.612092941616611e-07}",25,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Icd Ludhiana"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 1.1e-06, ""11"": 0.063649, ""12"": 0.000763, ""13"": 0}",26,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Icd Sabarmati"", ""1"": null, ""2"": null, ""3"": null, ""4"": 5.33e-05, ""5"": 2.923877, ""6"": 0.03379, ""7"": 5.33e-05, ""8"": 2.923877, ""9"": 0.03379, ""10"": null, ""11"": null, ""12"": null, ""13"": 2.784491075763307e-05}",27,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": ""Jaigaon"", ""1"": null, ""2"": null, ""3"": null, ""4"": 0.000344782, ""5"": 5.718873, ""6"": 0.068554, ""7"": 0.000344782, ""8"": 5.718873, ""9"": 0.068554, ""10"": 0.06767875500000001, ""11"": 1817.5500470000002, ""12"": 21.427481999999998, ""13"": 0.00018012052571929167}",28,TB8.6,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
