dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
imports,"{""0"": null, ""1"": ""Statement 7.2 : Source Country Wise Import of Coal by India during 2022-23"", ""2"": null, ""3"": null, ""5"": ""Statement 7.3 Source Country Wise Import of Coking Coal by India during 2022-23"", ""6"": null, ""7"": null, ""9"": "" Statement 7.4 : Source Country Wise Import of Non-Coking Coal to India during 2022-23"", ""10"": null, ""11"": null, ""13"": ""Statement 7.6 : Export of Coal from India by destination countries during 2022-23"", ""14"": null, ""15"": null}",1,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Country"", ""2"": ""Quantity [MT]"", ""3"": ""Share %"", ""5"": ""Country"", ""6"": ""Quantity [MT]"", ""7"": ""Share %"", ""9"": ""Country"", ""10"": ""Quantity [MT]"", ""11"": ""Share %"", ""13"": ""Country"", ""14"": ""Quantity [MT]"", ""15"": ""Share %""}",2,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Indonesia"", ""2"": 104.65115695899999, ""3"": 0.42956309168833573, ""5"": ""Australia"", ""6"": 30.10011214, ""7"": 0.5269378397729799, ""9"": ""Indonesia"", ""10"": 107.593783515, ""11"": 0.5924270613864716, ""13"": ""Nepal"", ""14"": 0.832598207, ""15"": 0.7160532405118094}",3,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Australia"", ""2"": 33.035068231, ""3"": 0.1355995141936468, ""5"": ""U S A"", ""6"": 7.27398592, ""7"": 0.1273396726695342, ""9"": ""South Africa"", ""10"": 17.445483759, ""11"": 0.09605737748193346, ""13"": ""Bangladesh Pr"", ""14"": 0.244618624, ""15"": 0.21037753496476108}",4,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Russia"", ""2"": 23.652631054, ""3"": 0.09708729093267798, ""5"": ""Singapore"", ""6"": 5.399265819, ""7"": 0.09452049393673619, ""9"": ""Australia"", ""10"": 17.397708738, ""11"": 0.09579432124974176, ""13"": ""Bhutan"", ""14"": 0.053062223, ""15"": 0.045634708804880075}",5,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""South Africa"", ""2"": 31.133411657, ""3"": 0.12779375742043766, ""5"": ""Russia"", ""6"": 4.481215461, ""7"": 0.07844894343229573, ""9"": ""Russia"", ""10"": 16.86079833, ""11"": 0.09283801425088149, ""13"": ""Oman"", ""14"": 0.027188030000000002, ""15"": 0.023382319131792572}",6,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""U S A"", ""2"": 20.141118475, ""3"": 0.08267353533006494, ""5"": ""Canada"", ""6"": 2.896005, ""7"": 0.0506979712093441, ""9"": ""Mozambique"", ""10"": 7.092412409, ""11"": 0.03905185694133563, ""13"": ""Others"", ""14"": 0.005293113000000238, ""15"": 0.004552196586756949}",7,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Singapore"", ""2"": 10.968065963, ""3"": 0.045020776280129765, ""5"": ""Indonesia"", ""6"": 2.234476, ""7"": 0.03911712856710204, ""9"": ""U S A"", ""10"": 6.418436482, ""11"": 0.035340847207932506, ""13"": ""Total"", ""14"": 1.162760197, ""15"": 1}",8,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Mozambique"", ""2"": 8.36232332, ""3"": 0.03432494741022301, ""5"": ""Mozambique"", ""6"": 2.0814825, ""7"": 0.036438797535830764, ""9"": ""Singapore"", ""10"": 4.674968938, ""11"": 0.025741060677787746, ""13"": null, ""14"": null, ""15"": null}",9,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Canada"", ""2"": 1.7474665, ""3"": 0.007172850584498383, ""5"": ""U Arab Emts"", ""6"": 0.659901, ""7"": 0.011552342588848215, ""9"": ""U Arab Emts"", ""10"": 1.84782402, ""11"": 0.010174388504288642, ""13"": null, ""14"": null, ""15"": null}",10,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""U Arab Emts"", ""2"": 3.21298647, ""3"": 0.013188391239159606, ""5"": ""Switzerland"", ""6"": 0.4198618, ""7"": 0.007350174273975145, ""9"": ""Switzerland"", ""10"": 1.207320959, ""11"": 0.006647685252103357, ""13"": null, ""14"": null, ""15"": null}",11,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Switzerland"", ""2"": 2.0935909930000003, ""3"": 0.00859359271141427, ""5"": ""New Zealand"", ""6"": 0.293905, ""7"": 0.005145152452527629, ""9"": ""Taiwan"", ""10"": 0.312, ""11"": 0.0017179174959193657, ""13"": null, ""14"": null, ""15"": null}",12,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Others"", ""2"": 4.624500321000028, ""3"": 0.018982252209411746, ""5"": ""Others"", ""6"": 1.2824893599999996, ""7"": 0.022451483560826074, ""9"": ""Others"", ""10"": 0.7645038269999986, ""11"": 0.0042094695516045185, ""13"": null, ""14"": null, ""15"": null}",13,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Total"", ""2"": 243.62231994300004, ""3"": 1, ""5"": ""Total"", ""6"": 57.1227, ""7"": 1, ""9"": ""Total"", ""10"": 181.61524097699998, ""11"": 1, ""13"": null, ""14"": null, ""15"": null}",14,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""All India Import"", ""2"": null, ""3"": null, ""5"": ""Import Coking"", ""6"": null, ""7"": null, ""9"": ""Import Non Coking"", ""10"": null, ""11"": null, ""13"": null, ""14"": null, ""15"": null}",15,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
imports,"{""0"": null, ""1"": ""Country"", ""2"": ""Quantity [MT]"", ""3"": null, ""5"": ""Country"", ""6"": ""Quantity [MT]"", ""7"": null, ""9"": ""Country"", ""10"": ""Quantity [MT]"", ""11"": null, ""13"": ""Country"", ""14"": ""Quantity [MT]"", ""15"": null}",16,word calculation,coal-statistics-coal-directory-chapter-7-import-and-export-8,coal_statistics,Coal Directory chapter 7: Import and export,https://coal.gov.in/sites/default/files/2024-03/cdchap7.xlsx
