dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
coal_prices,"{""0"": ""List of washeriries_Status as on 20.08.2024"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}",1,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": ""S. No"", ""1"": ""Name of Washery"", ""2"": ""Owner"", ""3"": ""state"", ""4"": ""Address"", ""5"": ""CIL/\nOther PSU\n/PVT"", ""6"": ""Working\n(Yes/NO)"", ""7"": ""Installed Capacity\n(MTPA)""}",2,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 29, ""1"": ""Parsa East and Kanta Basan Coal washery "", ""2"": ""Adani-RRVNUL JV"", ""3"": ""CG"", ""4"": ""Parsa Kanta Collieries,Vill-Parsa,Dist-Surguja,Chattisgarh"", ""5"": ""Other PSU"", ""6"": ""Yes"", ""7"": 15}",3,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 1, ""1"": ""ACB (India)Ltd ,Chakabura washery                          "", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Chakabura,PO-Janwahi,Dist-Korba,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""Yes"", ""7"": 7.5}",4,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 2, ""1"": ""ACB (India)Ltd, Dipka washery"", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Dipka,PO-Gevra,Dist-Gevra,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""Yes"", ""7"": 14}",5,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 3, ""1"": ""ACB (India)Ltd.,Gevra washery "", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Gevra,PO-Gevra,Dist-Gevra,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""Yes"", ""7"": 6.25}",6,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 4, ""1"": ""Maruti Clean Coal and Power Ltd.(MPPCL) ,Ratija washery"", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Vill-Ratija,Po-Nonbira,Tehsil-Pali,Dist-Korba,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""No"", ""7"": 3.3}",7,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 5, ""1"": ""ACB (India) Ltd,Ratija washery\n(formerly Spectrum Coal & Power Ltd.)"", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Ratija,PO-Katghora,Dist-Korba,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""Yes"", ""7"": 11}",8,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 6, ""1"": ""ACB(India) Ltd,Renki  washery \n( formerly S.V.Power Pvt Ltd.)"", ""2"": ""Aryan Coal Benefication (India) Ltd."", ""3"": ""CG"", ""4"": ""Vill-Renki, Tehsil- Pali, dist.-Korba,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""No"", ""7"": 2.5}",9,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
coal_prices,"{""0"": 7, ""1"": ""ACB (India) Ltd, Binjhari washery"", ""2"": ""Aryan Coal Benefication India) Ltd."", ""3"": ""CG"", ""4"": ""Po-Gevra,Dist.-Korba,Chattisgarh"", ""5"": ""Pvt"", ""6"": ""No"", ""7"": 4.8}",10,COMMITEE,coal-statistics-coal-directory-chapter-8-coal-prices-and-royalties-9,coal_statistics,Coal Directory chapter 8: Coal prices and royalties,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
