dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
source_reference,"{""0"": "" MONTHLY PIT-HEAD CLOSING STOCK OF COAL 2019-20"", ""1"": null, ""2"": null}",1,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""                     ( Million Tonnes)"", ""1"": null, ""2"": null}",2,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""Month"", ""1"": ""Raw Coal"", ""2"": ""Lignite""}",3,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-04-01T00:00:00"", ""1"": 83.279, ""2"": 4.573}",4,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-05-01T00:00:00"", ""1"": 85.017, ""2"": 4.41}",5,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-06-01T00:00:00"", ""1"": 82.783, ""2"": 4.216}",6,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-07-01T00:00:00"", ""1"": 76.871, ""2"": 4.16}",7,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-08-01T00:00:00"", ""1"": 69.576, ""2"": 4.288}",8,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-09-01T00:00:00"", ""1"": 63.056, ""2"": 4.304}",9,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-10-01T00:00:00"", ""1"": 58.308, ""2"": 4.155}",10,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-11-01T00:00:00"", ""1"": 58.798, ""2"": 4.035}",11,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2020-12-01T00:00:00"", ""1"": 65.685, ""2"": 4.024}",12,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2021-01-01T00:00:00"", ""1"": 73.832, ""2"": 4.086}",13,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2021-02-01T00:00:00"", ""1"": 85.686, ""2"": 4.15}",14,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""2021-03-01T00:00:00"", ""1"": 109.06, ""2"": 4.981}",15,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
source_reference,"{""0"": ""Total"", ""1"": 109.06, ""2"": 4.981}",16,chart 5.1 & 2del,coal-statistics-download-excel-5,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap4.xlsx
