dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
source_reference,"{""0"": null, ""1"": null, ""2"": ""cmab"", ""3"": ""cmcd"", ""4"": ""BLK"", ""5"": ""stab"", ""6"": ""stcd"", ""7"": ""pds"", ""8"": ""typ"", ""9"": ""met"", ""10"": ""nmet"", ""11"": ""ckg"", ""12"": ""nckg"", ""13"": ""traw"", ""14"": ""pub/pvt"", ""15"": ""capt/ncapt"", ""16"": ""tab1b"", ""17"": ""tab1c"", ""18"": ""tab1d"", ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",1,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 1.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""WB"", ""6"": ""35"", ""7"": ""O"", ""8"": ""C"", ""9"": 2, ""10"": 0, ""11"": 2, ""12"": 1267, ""13"": 1269, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",2,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 2.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""JKD"", ""6"": ""16"", ""7"": ""O"", ""8"": ""C"", ""9"": 0, ""10"": 8, ""11"": 8, ""12"": 2060, ""13"": 2068, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",3,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 3.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""TOT"", ""6"": ""99"", ""7"": ""O"", ""8"": ""C"", ""9"": 2, ""10"": 8, ""11"": 10, ""12"": 3327, ""13"": 3337, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",4,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 4.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""WB"", ""6"": ""35"", ""7"": ""P"", ""8"": ""C"", ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 26089, ""13"": 26089, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",5,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 5.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""JKD"", ""6"": ""16"", ""7"": ""P"", ""8"": ""C"", ""9"": 0, ""10"": 0, ""11"": 15, ""12"": 18900, ""13"": 18915, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",6,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 6.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""TOT"", ""6"": ""99"", ""7"": ""P"", ""8"": ""C"", ""9"": 0, ""10"": 0, ""11"": 15, ""12"": 44989, ""13"": 45004, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",7,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 7.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""WB"", ""6"": ""35"", ""7"": ""D"", ""8"": ""C"", ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 25128, ""13"": 25128, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",8,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 8.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""JKD"", ""6"": ""16"", ""7"": ""D"", ""8"": ""C"", ""9"": 0, ""10"": 18, ""11"": 18, ""12"": 16716, ""13"": 16734, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",9,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": null, ""1"": 9.0, ""2"": ""ECL"", ""3"": ""01"", ""4"": ""ECL"", ""5"": ""TOT"", ""6"": ""99"", ""7"": ""D"", ""8"": ""C"", ""9"": 0, ""10"": 18, ""11"": 18, ""12"": 41844, ""13"": 41862, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.0, ""24"": null, ""25"": null, ""26"": null, ""27"": null, ""28"": null, ""29"": null, ""30"": null}",10,tab1a2021-link_m,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
