dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
source_reference,"{""0"": ""Reporting of Payment of Royalty, DMF, etc  to different States during 2023-24"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null, ""8"": null, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",1,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""company"", ""1"": ""Block/Mine"", ""2"": ""CIL/N"", ""3"": ""state"", ""4"": ""Type"", ""5"": ""Amount of Royalty Paid"", ""6"": ""Amount of DMF Paid"", ""7"": ""Amount of NMET Paid"", ""8"": ""Dividend"", ""9"": ""IGST"", ""10"": ""Corporate Income Tax"", ""11"": ""Cess On Coal Paid*"", ""12"": ""Central GST Paid"", ""13"": ""State GST Paid"", ""14"": ""Entry Tax Paid on Coal"", ""15"": ""Total Amount Paid"", ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",2,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""ECL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 388.75, ""6"": 131.42, ""7"": 7.96, ""8"": 0, ""9"": 0.29, ""10"": 75.78, ""11"": 584.93, ""12"": 49.75, ""13"": 49.75, ""14"": 0, ""15"": 1288.6299999999999, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",3,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""ECL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""WB"", ""4"": ""C"", ""5"": 16.45, ""6"": 4.92, ""7"": 0.33, ""8"": 0, ""9"": 82.9, ""10"": 0, ""11"": 2860.28, ""12"": 7.86, ""13"": 7.86, ""14"": 0, ""15"": 2980.6000000000004, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",4,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""BCCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 1807.66, ""6"": 539.52, ""7"": 36.39, ""8"": 0, ""9"": 3.63, ""10"": 0, ""11"": 1571.64, ""12"": 227.15, ""13"": 230.15, ""14"": 0, ""15"": 4416.139999999999, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",5,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""BCCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""WB"", ""4"": ""C"", ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0.03, ""10"": 0, ""11"": 1.95, ""12"": 0.04, ""13"": 0.04, ""14"": 0, ""15"": 2.06, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",6,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""CCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 2120.2213269, ""6"": 637.1798427, ""7"": 45.2408111, ""8"": 1023.66, ""9"": 0.0329975, ""10"": 1358.81, ""11"": 3319.0165415, ""12"": 315.3746432, ""13"": 315.3746433, ""14"": 0, ""15"": 9134.9108062, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",7,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""MP"", ""4"": ""C"", ""5"": 2354.04, ""6"": 706.29, ""7"": 47.09, ""8"": 4195.75, ""9"": 0.47, ""10"": 2786.3, ""11"": 4668.37, ""12"": 277.03, ""13"": 277.03, ""14"": 0, ""15"": 15312.370000000003, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",8,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""UP"", ""4"": ""C"", ""5"": 606.12, ""6"": 180.34, ""7"": 12.49, ""8"": 0, ""9"": 4.54, ""10"": 0, ""11"": 850.17, ""12"": 76.73, ""13"": 76.73, ""14"": 0, ""15"": 1807.12, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",9,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""WCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""MP"", ""4"": ""C"", ""5"": 93.7705445, ""6"": 28.1312712, ""7"": 1.8754171, ""8"": 0, ""9"": 0.2196022, ""10"": 0, ""11"": 98.0609976, ""12"": 14.3117583, ""13"": 14.3117583, ""14"": 0, ""15"": 250.6813492, ""16"": ""Transit Fee"", ""17"": 13.9737115, ""18"": null, ""19"": ""MPGATSVA"", ""21"": 34.5646086, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",10,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""WCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""MAH"", ""4"": ""C"", ""5"": 2261.683537, ""6"": 661.7987275, ""7"": 44.120307, ""8"": 0, ""9"": 1.888899, ""10"": 0, ""11"": 2715.0291608, ""12"": 246.5621298, ""13"": 246.5621298, ""14"": 0, ""15"": 6177.644890899999, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",11,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SECL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""MP"", ""4"": ""C"", ""5"": 404.79188775700004, ""6"": 119.20202569000001, ""7"": 8.620181062999999, ""8"": 0, ""9"": null, ""10"": 0, ""11"": 463.33372, ""12"": 53.849820678, ""13"": 53.849820678, ""14"": 0, ""15"": 1103.6474558660002, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",12,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SECL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""CHG"", ""4"": ""C"", ""5"": 2843.837521012, ""6"": 874.245122615, ""7"": 60.45939074300001, ""8"": 0, ""9"": null, ""10"": 2428.2459, ""11"": 6708.6699376, ""12"": 386.915358039, ""13"": 386.915358039, ""14"": 0, ""15"": 13689.288588047999, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",13,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SECL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""WB"", ""4"": ""C"", ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",14,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SECL(GP 2&3)"", ""1"": ""Gare Palma 2&3"", ""2"": ""CIL"", ""3"": ""CHG"", ""4"": ""C"", ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",15,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""MCL"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""ODI"", ""4"": ""C"", ""5"": 3183.5334795, ""6"": 929.7435882, ""7"": 61.929151922, ""8"": 9000, ""9"": 0, ""10"": 4350, ""11"": 7879.4976316, ""12"": 378.0011409, ""13"": 378.0011409, ""14"": 0, ""15"": 26160.706133022, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",16,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NEC"", ""1"": ""CIL"", ""2"": ""CIL"", ""3"": ""ASM"", ""4"": ""C"", ""5"": 16.838378, ""6"": 5.051513528, ""7"": 0.3367676, ""8"": 0, ""9"": 5.9486597, ""10"": 0, ""11"": 6.7050844, ""12"": 4.0148478, ""13"": 4.0148478, ""14"": 0, ""15"": 42.910098827999995, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",17,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SCCL"", ""1"": ""SCCL"", ""2"": ""Non-CIL"", ""3"": ""TLNG"", ""4"": ""C"", ""5"": 2900, ""6"": 702, ""7"": 20, ""8"": 173, ""9"": null, ""10"": 0, ""11"": 0, ""12"": 279, ""13"": 279, ""14"": 0, ""15"": 4353, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",18,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SCCL"", ""1"": ""SCCL"", ""2"": ""Non-CIL"", ""3"": ""ODI"", ""4"": ""C"", ""5"": null, ""6"": null, ""7"": null, ""8"": 0, ""9"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0, ""14"": null, ""15"": 0, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",19,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""JKML"", ""1"": ""Moghla & Metka"", ""2"": ""Non-CIL"", ""3"": ""J&K"", ""4"": ""C"", ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": null, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",20,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""DVC_B"", ""1"": ""Bermo"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 0, ""6"": 0, ""7"": 0, ""8"": null, ""9"": null, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",21,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""DVC_T"", ""1"": ""Tubed"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 17.4630974, ""6"": 4.98884442, ""7"": 0.349261948, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 34.462884, ""12"": 2.088190671, ""13"": 2.088190671, ""14"": 0, ""15"": 61.440469109999995, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",22,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""IISCOC"", ""1"": ""Chasnala"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 4.892801, ""6"": 1.4678403, ""7"": 0.097856, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0.5812648, ""13"": 0.5812648, ""14"": 0, ""15"": 7.6210269, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",23,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""IISCOJ"", ""1"": ""Jitpur"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 1.3416835, ""6"": 0.402505, ""7"": 0.0268337, ""8"": 0, ""9"": null, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0.159392, ""14"": 0, ""15"": 1.9304142, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",24,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""IISCOR"", ""1"": ""Ramnagar"", ""2"": ""Non-CIL"", ""3"": ""WB"", ""4"": ""C"", ""5"": 0.0180616, ""6"": 0.0054186, ""7"": 0.0003614, ""8"": 0, ""9"": 1.6854496, ""10"": 0, ""11"": 2.7801418, ""12"": 0.1595697, ""13"": 0.1595697, ""14"": 0, ""15"": 4.808572399999999, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",25,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""SAIL"", ""1"": ""Tasra"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 12.4967048, ""6"": 3.7490114409999995, ""7"": 0.249934096, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 1.124703432, ""13"": 1.124703432, ""14"": 2.2494069, ""15"": 20.994464101000002, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",26,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""JSMDCL"", ""1"": ""Shikni OC"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 8.571880653000001, ""6"": 2.5715648420000004, ""7"": 0.171437721, ""8"": 0, ""9"": 0.738425874, ""10"": 0, ""11"": 13.504484, ""12"": 1.62835068, ""13"": 1.62835068, ""14"": 0, ""15"": 28.814494450000005, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",27,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""RRVUNL"", ""1"": ""Parsa E & Kanta Basan"", ""2"": ""Non-CIL"", ""3"": ""CHG"", ""4"": ""C"", ""5"": 83.49345178, ""6"": 8.349345178, ""7"": 1.669869036, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 268.034884, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 361.54754999399995, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",28,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NTPC_PB"", ""1"": ""Pakri Barwadih"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 317.437512, ""6"": 95.2312536, ""7"": 6.3487502, ""8"": 0, ""9"": 9.1620071, ""10"": 36.8509639, ""11"": 681.8409172, ""12"": 49.1420366, ""13"": 49.1420366, ""14"": 0, ""15"": 1245.1554772, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",29,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NTPC_DG"", ""1"": ""Dulanga"", ""2"": ""Non-CIL"", ""3"": ""ODI"", ""4"": ""C"", ""5"": 74.284, ""6"": 7.4284, ""7"": 1.48568, ""8"": 0, ""9"": 0, ""10"": 4.8737242, ""11"": 0, ""12"": 15.6470778, ""13"": 15.6470778, ""14"": 0, ""15"": 119.36595980000001, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",30,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
source_reference,"{""0"": ""NTPC_CB"", ""1"": ""Chatti Bariatu"", ""2"": ""Non-CIL"", ""3"": ""JKD"", ""4"": ""C"", ""5"": 47.7666, ""6"": 15.34323, ""7"": 0.955332, ""8"": 0, ""9"": 0.250238, ""10"": 5.4792252, ""11"": 113.387672, ""12"": 12.3214833, ""13"": 12.3214833, ""14"": 0, ""15"": 207.82526380000002, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""21"": null, ""22"": null, ""23"": null, ""24"": null, ""25"": null, ""26"": null, ""27"": null}",31,tab1a23-24-final,coal-statistics-download-excel-7,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap6.xlsx
