dataset_type,row_json,row_number,sheet_name,source_id,source_page_id,source_title,source_url
source_reference,"{""0"": ""Table 9.2 : Coal Washeries in India during 2024-25"", ""1"": null, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}",1,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": ""Sl.No."", ""1"": ""Owner Company"", ""2"": ""Name of Washery"", ""3"": ""Location/\nCoal field"", ""4"": ""State"", ""5"": ""Coking/\nNon-Coking"", ""6"": ""CIL/\nOther PSU\n/PVT"", ""7"": ""Raw Coal Capacity (MTPA)""}",2,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": ""(1)"", ""1"": ""(2)"", ""2"": ""(3)"", ""3"": ""(3)"", ""4"": ""(4)"", ""5"": ""(5)"", ""6"": ""(6)"", ""7"": ""(6)""}",3,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 1, ""1"": ""ACBIL"", ""2"": ""ACB (India)Ltd ,Chakabura washery                          "", ""3"": ""Chakabura,PO-Janwahi,Dist-Korba,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 7.5}",4,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 2, ""1"": ""ACBIL"", ""2"": ""ACB (India)Ltd, Dipka washery"", ""3"": ""Dipka,PO-Gevra,Dist-Gevra,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 14}",5,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 3, ""1"": ""ACBIL"", ""2"": ""ACB (India)Ltd.,Gevra washery "", ""3"": ""Gevra,PO-Gevra,Dist-Gevra,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 6.25}",6,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 4, ""1"": ""Aryan Coal Benefication (India) Ltd."", ""2"": ""Maruti Clean Coal and Power Ltd.(MPPCL) ,Ratija washery"", ""3"": ""Vill-Ratija,Po-Nonbira,Tehsil-Pali,Dist-Korba,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 3.3}",7,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 5, ""1"": ""Aryan Coal Benefication (India) Ltd."", ""2"": ""ACB (India) Ltd,Ratija washery\n(formerly Spectrum Coal & Power Ltd.)"", ""3"": ""Ratija,PO-Katghora,Dist-Korba,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 11}",8,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 6, ""1"": ""Aryan Coal Benefication (India) Ltd."", ""2"": ""ACB(India) Ltd,Renki  washery \n( formerly S.V.Power Pvt Ltd.)"", ""3"": ""Vill-Renki, Tehsil- Pali, dist.-Korba,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 2.5}",9,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 7, ""1"": ""Aryan Coal Benefication India) Ltd."", ""2"": ""ACB (India) Ltd, Binjhari washery"", ""3"": ""Po-Gevra,Dist.-Korba,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 4.8}",10,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
source_reference,"{""0"": 8, ""1"": ""Mahavir Coal Washeries Pvt. Ltd."", ""2"": ""Mahavir Coal Washeries Pvt. Ltd., Baloda (Unit I)"", ""3"": ""Vill-Bhelai,PO-Baloda,Dist-Janjgir,Champa,Chattisgarh"", ""4"": ""Chhattisgarh"", ""5"": ""Non-Coking"", ""6"": ""Pvt"", ""7"": 0.95}",11,TB9.2,coal-statistics-download-excel-9,coal_statistics,Download Excel,https://coal.gov.in/sites/default/files/2024-03/cdchap8.xlsx
