csv_file,dataset_type,rows,sheet_name,source_id,source_title
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-1.csv,production,35,2.1,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-2.csv,production,75,2.2,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-3.csv,production,272,2.3,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-4.csv,production,35,2.4,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-4-revised.csv,production,20,2.4 _Revised,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-5.csv,production,182,2.5,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-6.csv,production,71,2.6,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-7.csv,production,283,2.7,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-8.csv,production,94,2.8,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2__2-9.csv,production,157,2.9 ,coal-statistics-coal-directory-chapter-1-indian-coal-economy-overview-2,Coal Directory chapter 1: Indian coal economy overview
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__st6.csv,production,77,ST6,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__dt10.csv,production,57,DT10,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt1.csv,production,15,PT1,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt2.csv,production,17,PT2,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt3.csv,production,15,PT3,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt4.csv,production,25,PT4,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt5.csv,production,26,PT5,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt6.csv,production,23,PT6,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt7.csv,production,18,PT7,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt8.csv,production,22,PT8,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt9.csv,production,55,PT9,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt10.csv,production,28,PT10,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
normalized/coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3__pt6-7-revised.csv,production,99,PT6-7_Revised,coal-statistics-coal-directory-chapter-2-coal-and-lignite-resources-3,Coal Directory chapter 2: Coal and lignite resources
